string,string
13348,iw9_leagueplay_s0_win_challenge_marker
13345,iw9_leagueplay_s1_win_challenge_marker
13342,iw9_leagueplay_s2_win_challenge_marker
13343,iw9_leagueplay_s3_win_challenge_marker
13352,iw9_leagueplay_s4_win_challenge_marker
13344,iw9_leagueplay_s5_win_challenge_marker
13347,iw9_leagueplay_s6_win_challenge_marker
13349,iw9_leagueplay_season_end_bronze_marker
13353,iw9_leagueplay_season_end_crimson_marker
13340,iw9_leagueplay_season_end_diamond_marker
13351,iw9_leagueplay_season_end_gold_marker
13341,iw9_leagueplay_season_end_iridescent_marker
13350,iw9_leagueplay_season_end_platinum_marker
13346,iw9_leagueplay_season_end_silver_marker
18362,iw9_raid_gaz_activator_sentinel
24475,iw9_raid_price_skin_activator_sentinel
45469,iw9_blackcell_season_6_sentinel
