string,string,string,string,string,localized_a,localized_a,string,string,localized_a,string,string,string,int,string
0,_dummy_item_do_not_use,special,_dummy_item_do_not_use,200,a&MP_BR_INGAME/MISSION_TIMEDRUN_1_DESC,a&MP_BR_INGAME/MISSION_TIMEDRUN_1_DESC,icon_ping_default_arrow,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,,,0,
1,aiJugg,special,ai_jugg,200,a&LUA_MENU_MP/RISK_AI_JUGG,a&LUA_MENU_MP/RISK_AI_JUGG_DESC,ui_mp_br_loot_icon_truckwar_repair,1,a&LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,30,,,0,
2,airdrop,killstreak,airdrop,330,a&KILLSTREAKS/AIRDROP,a&KILLSTREAKS/AIRDROP_DESC,hud_icon_killstreak_carepackage,4,a&MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,30,,,0,
3,airdropMultiple,killstreak,airdrop_multiple,480,a&KILLSTREAKS/AIRDROP_MULTIPLE,a&KILLSTREAKS/AIRDROP_MULTIPLE_DESC,hud_icon_killstreak_emergency_airdrop,4,a&MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,30,,,0,
4,aiSquad,special,ai_squad,200,a&LUA_MENU_MP/RISK_AI_SQUAD,a&LUA_MENU_MP/RISK_AI_SQUAD_DESC,ui_mp_br_loot_icon_truckwar_repair,1,a&LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,30,,,0,
5,akilo47Comm,weapon,brloot_weapon_ar_akilo_comm,999,a&WEAPON/AR_AKILO47,a&WEAPON/AR_AKILO47,ui_loot_weapon_ar_akilo47,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,1047,,0,
6,alpha50Leg,weapon,brloot_weapon_sn_alpha50_lege,999,a&WEAPON/SN_ALPHA50_V17,a&WEAPON/SN_ALPHA50_V17,icon_weapon_sn_alpha50,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,419,,0,
7,ammoDepot,special,ammo_depot,200,a&LUA_MENU_MP/AMMO_DEPOT,a&LUA_MENU_MP/AMMO_DEPOT_DESC,ui_mp_br_loot_icon_truckwar_trophy,1,a&LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,30,,,0,
8,ammoDrop,fieldupgrade,super_ammo_drop,200,a&MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL,a&MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL_DESC,hud_icon_fieldupgrade_ammo_box,1,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,9230,,0,
9,armor,special,armor,40,a&MP_INGAME_ONLY/KIOSK_ITEM_ARMOR_PLATE,a&MP_INGAME_ONLY/KIOSK_ITEM_ARMOR_PLATE_DESC,hud_icon_loot_armor_plate,1,a&MP_INGAME_ONLY/ITEM_TYPE_HEALTH,30,8372,,0,
10,armor_plate_instant,special,armor_plate_instant,50,a&MP_INGAME_ONLY/KIOSK_ITEM_ARMOR_PLATE_INSTANT,a&MP_INGAME_ONLY/KIOSK_ITEM_ARMOR_PLATE_INSTANT_DESC,hud_icon_loot_armor_plate,1,a&MP_INGAME_ONLY/ITEM_TYPE_HEALTH,30,8372,,0,
11,armorBundle,special,armor_bundle,200,a&MP_BR_INGAME/KIOSK_ITEM_ARMOR_PLACE_BUNDLE,a&MP_BR_INGAME/KIOSK_ITEM_ARMOR_PLATE_BUNDLE_DESC,hud_icon_loot_armor_plates_triple,1,a&MP_BR_INGAME/ITEM_TYPE_HEALTH,30,8372,,0,
12,armorDrop,fieldupgrade,super_armor_drop,200,a&MP_BR_INGAME/KIOSK_ITEM_ARMOR_REFILL,a&MP_BR_INGAME/KIOSK_ITEM_ARMOR_REFILL_DESC,hud_icon_fieldupgrade_armor_box,1,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,9224,,0,
13,assaultDrone,killstreak,assault_drone,400,a&KILLSTREAKS/ASSAULT_DRONE,a&KILLSTREAKS/ASSAULT_DRONE_DESC,hud_icon_killstreak_drone_bomb,4,a&MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,30,9153,,0,
14,augolfComm,weapon,brloot_weapon_ar_augolf_comm,999,a&WEAPON/SM_AUGOLF,a&WEAPON/SM_AUGOLF,icon_weapon_sm_augolf,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,1052,,0,
