string,string,string,string,string
BLANK,blank,,,
logo_iw_2019,logo,,320,80
BLANK,blank,,,
CREDITS/DEPT_STUDIOHEADS,dept,,,
David Stohl,string,,,
Patrick Kelly,string,,,
CREDITS/DEPT_ENGINEERING,dept,,,
Abigail Miller,string,,,
Abiola Akinnubi,string,,,
Adam Clarke,string,,,
Aeri Iamsirithaworn,string,,,
Aisha Mandel,string,,,
Alberto Xavier Guerra Uvidia,string,,,
Alex Fox,string,,,
Alexanderia Nelson,string,,,
Anthony Carotenuto,string,,,
Anthony Williams Jr.,string,,,
Artem Litvak,string,,,
Ashwath Ram Ramadas,string,,,
Auston Jones,string,,,
Ava Derevlany,string,,,
Ben Davies,string,,,
Ben Kutcher,string,,,
Brian Gardiner,string,,,
Bridget Murphy,string,,,
Bryan Nogradi,string,,,
Calvin Lin,string,,,
Carlos Padilla,string,,,
Cheng-Hao 'Nick' Chu,string,,,
Chirashe Dziire,string,,,
Christopher Janowski,string,,,
Corey Shay,string,,,
Cyprien Orfila,string,,,
Dan Buckstein,string,,,
Daniel Nelson,string,,,
Dong Jinghui 'Jim',string,,,
Duncan Adamson,string,,,
Dylan Stilwell,string,,,
Emiliano Miranda,string,,,
Eric Goldin,string,,,
Ethan Caraway,string,,,
Felipe Gomez-Frittelli,string,,,
Fola Ogunfemi,string,,,
Garrett Mckay,string,,,
Gavin Pugh,string,,,
Greg Twentyman,string,,,
Haley Bear,string,,,
Hari Khalsa,string,,,
Idris Wardere,string,,,
Ifedayo Isibor,string,,,
Jake Campbell,string,,,
Jan Milik,string,,,
Jane Hu,string,,,
Jennifer Lim,string,,,
Jenny Rodriguez,string,,,
Jimmy Griffiths,string,,,
Jocelyn Chew,string,,,
John Webb,string,,,
Jon Futch,string,,,
Jose Manuel Marin Roman,string,,,
Joshua Parker,string,,,
Kamil Grodecki,string,,,
Kamil Leniart,string,,,
Kaustabh Dutta,string,,,
Keng Hua Sing,string,,,
Kent Rose,string,,,
Kimberly Coterwas,string,,,
Konrad Piechota,string,,,
Koundinya Upadhyayula,string,,,
Krista Boone,string,,,
Kyle McKisic,string,,,
Lily Kim,string,,,
Luba May,string,,,
Marc Serrano,string,,,
Marcus Meurling,string,,,
Marlon Valladares,string,,,
Martin Ruzicka,string,,,
Matt Garrison,string,,,
Matthew Stine,string,,,
Max Bauer,string,,,
Mehek Jethani,string,,,
Melody Schaeffer,string,,,
Michael Boon,string,,,
Michael Esposito,string,,,
Michal Drobot,string,,,
Michal Olejnik,string,,,
Michal Szymczyk,string,,,
Mike Solovykh,string,,,
Mitchell Sanborn,string,,,
Molly Lee,string,,,
Natalie Tobiason,string,,,
Nathan Silvers,string,,,
Nicolas 'Felix' Mayrose,string,,,
Paige Blum,string,,,
Patrick Ahrens,string,,,
Peter Claes,string,,,
Peter Greer-Berezovsky,string,,,
Peter Pon,string,,,
Peter Wiest,string,,,
Piotr Brendel,string,,,
Piotr Dudek,string,,,
Prashanthan Gunasingam,string,,,
Ray Allaire,string,,,
Reinart Realina,string,,,
Rohit Ravishankar,string,,,
Rulon Raymond,string,,,
Ryan Feltrin,string,,,
Sae Hun Kim,string,,,
Samuel Markowitz,string,,,
Sarat Buddharaju,string,,,
Scott Kim,string,,,
