string,string,localized_a,localized_a,string
sp_nwr_cine_intro,strike,a&CINEMATICS/NIGHTWAR,a&CINEMATICS/PROXYWAR_DESC,sp_cinematic_thumb_01
sp_mtg_cine_intro,nightwar,a&CINEMATICS/MARINA,a&CINEMATICS/PICCADILLY_DESC,sp_cinematic_thumb_02
sp_bs_cine_intro,border,a&CINEMATICS/BACKSTABBED,a&CINEMATICS/SAFEHOUSE_DESC,sp_cinematic_thumb_03
sp_gscom_cine_intro,backstabbed,a&CINEMATICS/GUNSHIP_COMPOUND,a&CINEMATICS/SAFEHOUSEFINALE_DESC,sp_cinematic_thumb_04
sp_gsamb_cine_intro,gunship_compound,a&CINEMATICS/GUNSHIP_AMBUSH,a&CINEMATICS/TOWNHOUSED_DESC,sp_cinematic_thumb_05
sp_intcpt_cine_intro,gunship_ambush,a&CINEMATICS/INTERCEPT,a&CINEMATICS/MARINES_DESC,sp_cinematic_thumb_06
sp_con_cine_intro,intercept,a&CINEMATICS/CONVOY_CHASE,a&CINEMATICS/HIGHWAY_DESC,sp_cinematic_thumb_07
sp_prty_cine_intro,convoy_chase,a&CINEMATICS/PARTY,a&CINEMATICS/TUNNELS_DESC,sp_cinematic_thumb_08
sp_intdic_cine_intro,party,a&CINEMATICS/SHIPAF,a&CINEMATICS/CAPTIVE_DESC,sp_cinematic_thumb_09
sp_wou_cine_intro,shipaf,a&CINEMATICS/WOUNDED,a&CINEMATICS/STPETERSBURG_DESC,sp_cinematic_thumb_10
sp_pri_cine_intro,wounded,a&CINEMATICS/PRISON,a&CINEMATICS/ESTATE_DESC,sp_cinematic_thumb_11
sp_sb_cine_intro,prison,a&CINEMATICS/SHADOWBASE,a&CINEMATICS/LAB_DESC,sp_cinematic_thumb_12
sp_high_cine_intro,shadowbase,a&CINEMATICS/TOWER,a&CINEMATICS/SACRIFICE_DESC,sp_cinematic_thumb_13
sp_epi_cine_intro,tower,a&CINEMATICS/EPILOGUE,a&CINEMATICS/EPILOGUE_DESC,sp_cinematic_thumb_14
sp_pstcr_cine_intro,tower,a&CINEMATICS/POST_CREDITS,a&CINEMATICS/EPILOGUE_DESC,sp_cinematic_thumb_15
