string,string,string,localized_a,localized_a,string
0,weapon_assault,1,a&LUA_MENU/WEAPTYPE_SINGLE_AR,a&LUA_MENU/WEAPTYPE_AR,1
1,weapon_smg,2,a&LUA_MENU/WEAPTYPE_SINGLE_SMG,a&LUA_MENU/WEAPTYPE_SMG,1
2,weapon_lmg,1,a&LUA_MENU/WEAPTYPE_SINGLE_LMG,a&LUA_MENU/WEAPTYPE_LMG,1
3,weapon_dmr,1,a&LUA_MENU/WEAPTYPE_SINGLE_DMR,a&LUA_MENU/WEAPTYPE_DMR,0
4,weapon_sniper,1,a&LUA_MENU/WEAPTYPE_SINGLE_SNIPER,a&LUA_MENU/WEAPTYPE_SNIPER,1
5,weapon_shotgun,2,a&LUA_MENU/WEAPTYPE_SINGLE_SHOTGUN,a&LUA_MENU/WEAPTYPE_SHOTGUN,1
7,weapon_pistol,2,a&LUA_MENU/WEAPTYPE_SINGLE_HANDGUN,a&LUA_MENU/WEAPTYPE_HANDGUNS,1
8,weapon_projectile,2,a&LUA_MENU/WEAPTYPE_SINGLE_LAUNCHER,a&LUA_MENU/WEAPTYPE_LAUNCHERS,0
9,weapon_heavy,2,a&LUA_MENU/WEAPTYPE_SINGLE_LAUNCHER,a&LUA_MENU/WEAPTYPE_HEAVIES,1
10,weapon_melee,2,a&LUA_MENU/WEAPTYPE_SINGLE_MELEE,a&LUA_MENU/WEAPTYPE_MELEES,0
