string,string,string,string,string,string,string,xhash,localized_a,string,string,localized_a,string,localized_a,int
3967,dismemberment_bullets,2,200,40,0,,#,a&,white,0,a&,,a&,0
3967,dismemberment_bullets,2,200,40,0,,#,a&,white,0,a&,,a&,0
3945,xp_token,1,200,40,0,7423,#hash_3589ec1bf7669a6b,a&LUA_MENU_MP/DOUBLE_XP_TOKEN,jup_icon_xp_token_player_15min,0,a&LUA_MENU/XP_TOKEN_COMMON,,a&,0
3983,gift,3,500,100,0,,#,a&,white,0,a&,,a&,0
3953,tournament_ticket,4,1000,200,0,,#,a&,white,0,a&,,a&,0
3958,trial_1_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3964,trial_2_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3980,trial_3_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3954,trial_4_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3971,trial_5_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3976,trial_6_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3949,trial_7_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3979,trial_8_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3981,trial_9_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3975,trial_10_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3959,trial_11_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3970,trial_12_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3972,trial_13_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3977,trial_14_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3957,trial_15_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3974,trial_16_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3952,trial_17_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3960,trial_18_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3950,trial_19_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3966,trial_20_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3956,trial_21_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3961,trial_22_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3965,trial_23_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3973,trial_24_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3943,trial_25_ticket,0,0,0,0,,#,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3962,weapon_xp_token,1,0,0,0,7427,#hash_71d1a5f93f6bac24,a&LUA_MENU_MP/DOUBLE_WEAPON_XP_TOKEN,jup_icon_xp_token_weapon_15min,0,a&LUA_MENU/XP_TOKEN_COMMON,,a&,0
3947,keys_token,1,0,0,0,,#,a&LUA_MENU/DOUBLE_KEY_TOKEN,placeholder_x,0,a&LUA_MENU/XP_TOKEN_COMMON,,a&,0
3946,xp_token_rare,2,0,0,0,7437,#hash_82ca3e3f459628b4,a&LUA_MENU_MP/DOUBLE_XP_TOKEN,jup_icon_xp_token_player_30min,0,a&LUA_MENU/XP_TOKEN_RARE,,a&,0
3948,weapon_xp_token_rare,2,0,0,0,7413,#hash_9663effaedf77c81,a&LUA_MENU_MP/DOUBLE_WEAPON_XP_TOKEN,jup_icon_xp_token_weapon_30min,0,a&LUA_MENU/XP_TOKEN_RARE,,a&,0
3982,keys_token_rare,2,0,0,0,,#,a&LUA_MENU/DOUBLE_KEY_TOKEN,placeholder_x,0,a&LUA_MENU/XP_TOKEN_RARE,,a&,0
3955,xp_token_legendary,4,0,0,0,7410,#hash_89ee44eaba5fe851,a&LUA_MENU_MP/DOUBLE_XP_TOKEN,jup_icon_xp_token_player_60min,0,a&LUA_MENU/XP_TOKEN_LEGENDARY,,a&,0
3951,weapon_xp_token_legendary,4,0,0,0,7415,#hash_84244d04c86624ae,a&LUA_MENU_MP/DOUBLE_WEAPON_XP_TOKEN,jup_icon_xp_token_weapon_60min,0,a&LUA_MENU/XP_TOKEN_LEGENDARY,,a&,0
3944,keys_token_legendary,4,0,0,0,,#,a&LUA_MENU/DOUBLE_KEY_TOKEN,placeholder_x,0,a&LUA_MENU/XP_TOKEN_LEGENDARY,,a&,0
3978,xp_token_epic,3,0,0,0,7411,#hash_a7c2d5996ee369b1,a&LUA_MENU_MP/DOUBLE_XP_TOKEN,jup_icon_xp_token_player_45min,0,a&LUA_MENU/XP_TOKEN_EPIC,,a&,0
3942,weapon_xp_token_epic,3,0,0,0,7414,#hash_ca42707e347a7bcc,a&LUA_MENU_MP/DOUBLE_WEAPON_XP_TOKEN,jup_icon_xp_token_weapon_45min,0,a&LUA_MENU/XP_TOKEN_EPIC,,a&,0
3963,keys_token_epic,3,0,0,0,,#,a&LUA_MENU/DOUBLE_KEY_TOKEN,placeholder_x,0,a&LUA_MENU/XP_TOKEN_EPIC,,a&,0
3968,xp_token_year,0,0,0,0,7409,#hash_8761f8f2e898761d,a&LUA_MENU_MP/DOUBLE_XP_TOKEN,icon_double_xp_token_year,0,a&LUA_MENU/XP_TOKEN_YEAR,,a&,0
23744,weapon_xp_token_year,0,0,0,0,12081,#hash_ea6e6d24ba99c950,a&LUA_MENU_MP/DOUBLE_WEAPON_XP_TOKEN,icon_double_xp_token_year,0,a&LUA_MENU/XP_TOKEN_YEAR,,a&,0
23745,battle_xp_token_year,0,0,0,0,12082,#hash_6288cf2671b9e1ab,a&LUA_MENU_MP/DOUBLE_BATTLE_XP_TOKEN,icon_double_xp_token_year,0,a&LUA_MENU/XP_TOKEN_YEAR,,a&,0
8429,battle_xp_token,1,0,0,0,7438,#hash_c04d961651b09c5d,a&LUA_MENU_MP/DOUBLE_BATTLE_XP_TOKEN,jup_icon_xp_token_battlepass_15min,0,a&LUA_MENU/XP_TOKEN_COMMON,,a&,0
8599,battle_xp_token_rare,2,0,0,0,7425,#hash_622b87c86701e29e,a&LUA_MENU_MP/DOUBLE_BATTLE_XP_TOKEN,jup_icon_xp_token_battlepass_30min,0,a&LUA_MENU/XP_TOKEN_RARE,,a&,0
8355,battle_xp_token_epic,3,0,0,0,7429,#hash_ad38ca3e070b017f,a&LUA_MENU_MP/DOUBLE_BATTLE_XP_TOKEN,jup_icon_xp_token_battlepass_45min,0,a&LUA_MENU/XP_TOKEN_EPIC,,a&,0
8594,battle_xp_token_legendary,4,0,0,0,7431,#hash_cdd58a1867b5ef33,a&LUA_MENU_MP/DOUBLE_BATTLE_XP_TOKEN,jup_icon_xp_token_battlepass_60min,0,a&LUA_MENU/XP_TOKEN_LEGENDARY,,a&,0
8395,cash,1,0,0,0,,#,a&LOOT_MP/ITEM_TYPE_PLUNDER,ui_mp_br_loot_icon_plunder,0,a&,1,a&,0
8372,armor_plate,1,0,0,0,,#,a&EQUIPMENT/ARMOR_PLATE_BR,hud_icon_loot_armor_plate,0,a&,,a&,0
8421,armor_satchel,1,0,0,0,,#,a&EQUIPMENT/BR_PLATE_POUCH,ui_mp_br_loot_icon_health_armor_satchel,0,a&,1,a&,0
8400,gas_mask,1,0,0,0,,#,a&MP/BR_GASMASK,hud_icon_equipment_gas_mask,0,a&,,a&,0
23463,brloot_disguise,4,0,0,0,,#,a&MP/BR_DISGUISE,hud_icon_fieldupgrade_disguise,0,a&,,a&,0
13371,brloot_valuable_harddrive,1,0,10,0,,#,a&MP/ BR_VALUABLE_HARDDRIVE,hud_icon_loot_harddrive,0,a&,1,a&,0
13355,brloot_valuable_goldbar,1,0,50,0,,#,a&MP/BR_VALUABLE_GOLDBAR,hud_icon_loot_gold,0,a&,1,a&,0
13356,brloot_valuable_laptop,1,0,20,0,,#,a&MP/BR_VALUABLE_LAPTOP,hud_icon_loot_laptop,0,a&,1,a&,0
29315,brloot_valuable_laptop_biobunker,1,0,20,0,,#,a&MP/BR_VALUABLE_LAPTOP_BIOBUNKER,hud_icon_loot_laptop,0,a&,1,a&,0
13370,brloot_valuable_liquor,1,0,10,0,,#,a&MP/BR_VALUABLE_LIQUOR,hud_icon_loot_liquor,0,a&,1,a&,0
13366,brloot_valuable_comicbook,1,0,30,0,,#,a&MP/BR_VALUABLE_COMICBOOK,hud_icon_loot_comic,0,a&,1,a&,0
8557,loot_key_fortress,1,0,0,0,,#,a&MP_DMZ_LOCKS/FORTRESS_KEY_NAME,hud_icon_loot_key_fortress,0,a&,1,a&,0
8532,loot_key_quarry_office,1,0,0,0,,#,a&MP_DMZ_LOCKS/QUARRY_OFFICE_KEY_NAME,hud_icon_loot_key_02,0,a&,1,a&,0
8630,loot_key_quarry_storage,1,0,0,0,,#,a&MP_DMZ_LOCKS/QUARRY_STORAGE_KEY_NAME,hud_icon_loot_key_01,0,a&,1,a&,0
8576,loot_key_quarry_control,1,0,0,0,,#,a&MP_DMZ_LOCKS/QUARRY_CONTROL_KEY_NAME,hud_icon_loot_key_02,0,a&,1,a&,0
8486,brloot_ammo_12g,1,0,0,0,,#,a&MP/BR_AMMO_SHOTGUN,ui_mp_br_loot_icon_ammo_shells_detail,0,a&,1,a&,0
8542,brloot_ammo_50cal,1,0,0,0,,#,a&MP/BR_AMMO_SNIPER,ui_mp_br_loot_icon_ammo_high_detail,0,a&,1,a&,0
8434,brloot_ammo_762,1,0,0,0,,#,a&MP/BR_AMMO_AR_LMG,ui_mp_br_loot_icon_ammo_mid_detail,0,a&,1,a&,0
8595,brloot_ammo_919,1,0,0,0,,#,a&MP/BR_AMMO_PISTOL_SMG,ui_mp_br_loot_icon_ammo_small_detail,0,a&,1,a&,0
8627,brloot_ammo_rocket,1,0,0,0,,#,a&MP/BR_AMMO_LAUNCHER,ui_mp_br_loot_icon_ammo_rocket_detail,0,a&,1,a&,0
17552,brloot_ammo_ob,1,0,0,0,,#,a&SHARED_HINTSTRINGS/AMMO_PICKUP,ui_map_icon_ammo_cache,0,a&,1,a&,0
8548,brloot_self_revive,1,0,0,0,,#,a&MP_BR_INGAME/KIOSK_ITEM_SELF_REVIVE,hud_icon_loot_revive,0,a&,,a&,0
8608,dmz_loot_quest_intel,1,0,0,0,,#,a&MP_DMZ_MISSIONS/INTEL,ui_mp_br_mapmenu_icon_scavengerhunt_objective,0,a&,1,a&,0
8472,loot_key_hydro_storage,1,0,0,0,,#,a&MP_DMZ_LOCKS/HYDRO_STORAGE_KEY_NAME,hud_icon_loot_key_01_pristine,0,a&,1,a&,0
8507,loot_key_hydro_apt,1,0,0,0,,#,a&MP_DMZ_LOCKS/HYDRO_APT_KEY_NAME,hud_icon_loot_key_03_pristine,0,a&,1,a&,0
8428,loot_key_hydro_weapondrop,1,0,0,0,,#,a&MP_DMZ_LOCKS/HYDRO_WEAPONDROP_KEY_NAME,hud_icon_loot_key_04_pristine,0,a&,1,a&,0
8591,dmz_trap_quest_trigger,1,0,0,0,,#,a&MP_DMZ_MISSIONS/USB_STICK,hud_icon_loot_usb_stick,0,a&,1,a&,0
8427,personal_pictureofawoman,1,0,0,0,,#,a&MP/BR_PERSONAL_PICTURE_OF_A_WOMAN,hud_icon_loot_polaroid_woman,0,a&,1,a&,0
8488,personal_pictureofaman,1,0,0,0,,#,a&MP/BR_PERSONAL_PICTURE_OF_A_MAN,hud_icon_loot_polaroid_man,0,a&,1,a&,0
8530,personal_pictureofachild,1,0,0,0,,#,a&MP/BR_PERSONAL_PICTURE_OF_A_CHILD,hud_icon_loot_polaroid_child,0,a&,1,a&,0
8527,personal_pictureofadog,1,0,0,0,,#,a&MP/BR_PERSONAL_PICTURE_OF_A_DOG,hud_icon_loot_polaroid_dog,0,a&,1,a&,0
8433,personal_pictureofacat,1,0,0,0,,#,a&MP/BR_PERSONAL_PICTURE_OF_A_CAT,hud_icon_loot_polaroid_cat,0,a&,1,a&,0
8479,personal_smallshoe,1,0,0,0,,#,a&MP/BR_PERSONAL_SMALL_SHOE,ui_mp_br_loot_icon_plunder,0,a&,1,a&,0
8352,personal_heartlocket,1,0,0,0,,#,a&MP/BR_PERSONAL_HEART_LOCKET,hud_icon_loot_heart_locket,0,a&,1,a&,0
8445,personal_wornnecklace,1,0,0,0,,#,a&MP/BR_PERSONAL_WORN_NECKLACE,hud_icon_loot_necklace,0,a&,1,a&,0
8476,personal_oldwatch,1,0,0,0,,#,a&MP/BR_PERSONAL_OLD_WATCH,hud_icon_loot_old_watch,0,a&,1,a&,0
