string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,int
28232,jup_codmas_br_organic_1,a&JUP_CHALLENGE/JUP_CODMAS_BR_1_TITLE_HE_HUNTS_YOU,a&JUP_CHALLENGE/JUP_CODMAS_BR_1_DESCRIPTION_HE_HUNTS_YOU,1,,44430,,,,,,,1,,BR,0
28233,jup_codmas_br_organic_2,a&JUP_CHALLENGE/JUP_CODMAS_BR_2_TITLE_SNOW_DAY,a&JUP_CHALLENGE/JUP_CODMAS_BR_2_DESCRIPTION_SNOW_DAY,1,,46517,,,,,,,2,,BR,0
28234,jup_codmas_br_organic_3,a&JUP_CHALLENGE/JUP_CODMAS_BR_3_TITLE_NOSE_SO_BRIGHT,a&JUP_CHALLENGE/JUP_CODMAS_BR_3_DESCRIPTION_NOSE_SO_BRIGHT,1,,44431,,,,,,,3,,BR,0
28235,jup_codmas_br_organic_4,a&JUP_CHALLENGE/JUP_CODMAS_BR_4_TITLE_HOLIDAYZ,a&JUP_CHALLENGE/JUP_CODMAS_BR_4_DESCRIPTION_HOLIDAYZ,1,,46520,,,,,,,4,,BR,0
28236,jup_codmas_br_organic_5,a&JUP_CHALLENGE/JUP_CODMAS_BR_7_TITLE_GLARE,a&JUP_CHALLENGE/JUP_CODMAS_BR_7_DESCRIPTION_GLARE,1,,49310,,,,,,,5,,BR,0
28237,jup_codmas_br_organic_6,a&JUP_CHALLENGE/JUP_CODMAS_BR_8_TITLE_GREETINGS,a&JUP_CHALLENGE/JUP_CODMAS_BR_8_DESCRIPTION_GREETINGS,1,,49311,,,,,,,6,,BR,0
28238,jup_codmas_br_organic_7,a&JUP_CHALLENGE/JUP_CODMAS_BR_9_TITLE_THE_HUNT,a&JUP_CHALLENGE/JUP_CODMAS_BR_9_DESCRIPTION_THE_HUNT,1,,49312,,,,,,,7,,BR,0
28239,jup_codmas_br_organic_8,a&JUP_CHALLENGE/JUP_CODMAS_BR_11_TITLE_NAUGHTY,a&JUP_CHALLENGE/JUP_CODMAS_BR_11_DESCRIPTION_NAUGHTY,7,,48377,,,,,,,8,,BR,0
28240,jup_codmas_br_organic_9,a&JUP_CHALLENGE/JUP_CODMAS_BR_12_TITLE_DECK_YA,a&JUP_CHALLENGE/JUP_CODMAS_BR_12_DESCRIPTION_DECK_YA,1,,49176,,,,,,,9,,BR,0
28241,jup_codmas_br_organic_10,a&JUP_CHALLENGE/JUP_CODMAS_BR_13_TITLE_CAROLERZ,a&JUP_CHALLENGE/JUP_CODMAS_BR_13_DESCRIPTION_CAROLERZ,50,,49309,,,,,,,10,,BR,0
28242,jup_codmas_br_organic_11,a&JUP_CHALLENGE/JUP_CODMAS_BR_14_TITLE_HUMBUG_KILLER,a&JUP_CHALLENGE/JUP_CODMAS_BR_14_DESCRIPTION_HUMBUG_KILLER,1,,49344,,,,,,,11,,BR,0
28202,jup_br_wc_exfil,a&JUP_CHALLENGE/JUP_WEAPONS_CASE_EXFIL,a&JUP_CHALLENGE/JUP_WEAPONSCASE_EXFIL_DESC,1|2|3|4|5,,44143|44141|44142|38514|45462,,,,,,,,,BR,0
28272,jup_br_wc_win,a&JUP_CHALLENGE/JUP_WEAPONS_CASE_VICTORY,a&JUP_CHALLENGE/JUP_WEAPONS_CASE_VICTORY_DESC,1,,44436,,,,,,,,,BR,0
28375,jup_br_wc_generic,a&JUP_CHALLENGE/JUP_WEAPONS_CASE,a&JUP_CHALLENGE/JUP_WEAPONS_CASE_DESC,1,,3962,,,,,,,,,BR,0
28209,jup_br_cq_defusal_generic,a&JUP_CHALLENGE/JUP_CQ_DEFUSAL,a&JUP_CHALLENGE/JUP_CQ_DEFUSAL_DESC,1,2000,44321+48657,,,,,,,,,BR,0
