string,localized_a,string,string,localized_a,string,localized_a,int
kills,a&MPUI/KILLS,icon_scoreboard_kills,1,a&BATTLEPASS/KILLS_BONUS,icon_commendation_most_kills_alt,a&LUA_MENU/ELIMINATIONS,0
deaths,a&LUA_MENU/DEATHS,icon_scoreboard_deaths,,a&,,a&,0
revives,a&LUA_MENU/REVIVES,icon_scoreboard_revives,1,a&BATTLEPASS/REVIVES_BONUS,icon_commendation_revives_alt,a&,0
downs,a&MENU/DOWNS,,,a&,,a&,0
assists,a&LUA_MENU/ASSISTS,,1,a&BATTLEPASS/ASSISTS_BONUS,icon_commendation_most_assists_alt,a&,0
kdRatio,a&LUA_MENU/WEAPPERF_KDR,,,a&,,a&,0
time,a&LUA_MENU/TIME,,,a&,,a&,0
objTime,a&LUA_MENU/TIME,,,a&,,a&,0
captures,a&LUA_MENU/CAPTURES,,1,a&BATTLEPASS/CAPTURES_BONUS,icon_commendation_captures_alt,a&,0
defends,a&MENU/DEFENDS,,1,a&BATTLEPASS/DEFENDS_BONUS,icon_commendation_defends_alt,a&,0
plants,a&LUA_MENU/PLANTS,icon_scoreboard_plants,1,a&BATTLEPASS/PLANTS_BONUS,icon_commendation_bombs_planted_alt,a&,0
defuses,a&MENU/DEFUSES,,1,a&BATTLEPASS/DEFUSES_BONUS,icon_commendation_bombs_defused_alt,a&,0
confirms,a&LUA_MENU/CONFIRMS,,1,a&BATTLEPASS/CONFIRM_BONUS,icon_commendation_tags_captured_alt,a&,0
denies,a&LUA_MENU/DENIES,,1,a&BATTLEPASS/DENIES_BONUS,icon_commendation_tags_denied_alt,a&,0
banks,a&LUA_MENU_MP/BANKS_CAPS,,1,a&BATTLEPASS/CONFIRM_BONUS,icon_commendation_tags_captured_alt,a&,0
streak,a&LUA_MENU/LIFESTREAK,,1,a&BATTLEPASS/KILLSTREAK_BONUS,icon_commendation_killstreak_kills_alt,a&,0
rescues,a&LUA_MENU/RESCUES,,1,a&BATTLEPASS/RESCUES_BONUS,icon_commendation_revives_alt,a&,0
carries,a&LUA_MENU_MP/CARRIES,,1,a&BATTLEPASS/CARRIES_BONUS,icon_commendation_kills_carrier_alt,a&,0
throws,a&LUA_MENU_MP/THROWS,,,a&,,a&,0
infected,a&LUA_MENU/INFECTED_SCOREBOARD,,1,a&BATTLEPASS/INFECTED_KILLS_BONUS,icon_commendation_kills_infected_alt,a&,0
scores,a&LUA_MENU/SCORES,,,a&,,a&,0
stabs,a&LUA_MENU_MP/MELEES,,,a&,,a&,0
setBacks,a&LUA_MENU_MP/SETBACKS,,1,a&BATTLEPASS/SETBACKS_BONUS,icon_commendation_setbacks_alt,a&,0
returns,a&LUA_MENU_MP/RETURNS,,1,a&BATTLEPASS/FLAG_RETURNS_BONUS,icon_commendation_returns_alt,a&,0
currency,a&LUA_MENU_MP/CURRENCY,,,a&,,a&,0
bounty,a&LUA_MENU_MP/BOUNTY_LEVEL,,,a&,,a&,0
escapes,a&LUA_MENU/ESCAPES,,,a&,,a&,0
damage,a&LUA_MENU_MP/DAMAGE,,,a&,,a&,0
headShots,a&LUA_MENU/WEAPPERF_HEADSHOTS,,,a&,,a&,0
accuracy,a&LUA_MENU/WEAPPERF_ACCURACY,,,a&,,a&,0
uses,a&LUA_MENU_MP/USES,,,a&,,a&,0
scorePerMinute,a&LUA_MENU_MP/SCORE_PER_MINUTE,,,a&,,a&,0
hits,a&LUA_MENU/HITS,,,a&,,a&,0
healed,a&LUA_MENU/HEALED,,,a&,,a&,0
cleanups,a&LUA_MENU_MP/CLEANUPS,,,a&,,a&,0
contracts,a&LUA_MENU_MP/CONTRACTS,,,a&,,a&,0
wins,a&LUA_MENU/WINS,,,a&,,a&,0
topten,a&LUA_MENU/TOP_TEN,,,a&,,a&,0
gamePlayed,a&LUA_MENU/GAMES_PLAYED,,,a&,,a&,0
cash,a&LUA_MENU_MP/CASH,,,a&,,a&,0
caches,a&LUA_MENU_MP/CACHES,,,a&,,a&,0
missionParticipation,a&LUA_MENU_MP/MISSION_PARTICIPATION,,,a&,,a&,0
contribution,a&LUA_MENU/CONTRIBUTION,,,a&,,a&,0
goals,a&LUA_MENU/GOALS,,,a&,,a&,0
segmentCaptures,a&LUA_MENU/CAPTURES,,,a&,,a&,0
hvtKills,a&LUA_MENU/HVT_KILLS,,,a&,,a&,0
zombieDeaths,a&LUA_MENU/ZOMBIE_KILLS,,,a&,,a&,0
height,a&LUA_MENU/HEIGHT,,,a&,,a&,0
maxHeight,a&LUA_MENU/MAX_HEIGHT,,,a&,,a&,0
slams,a&LUA_MENU/SLAMS,,,a&,,a&,0
