string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,int,string,string,string,string
23230,jup_founders_week2_mastery,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_MASTERY,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_MASTERY_DESC,5,,45913,,,,23231|23235|23239|23243|23247,,1701280800,1701878400,,,0,,,,
23231,jup_founders_week2_1,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_1,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_1_DESC,1,,41390,,,,23232|23233,0,1701280800,1701878400,,,0,,,,
23232,jup_founders_week2_1_mp,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_1,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_1_DESC,5,,,,,,,0,1701280800,1701878400,,,0,MP,,,
23233,jup_founders_week2_1_ob,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_1,a&JUP_OB_EVENT_CHALLENGES/FOUNDERS_WEEK2_1,50,,,,,,,0,1701280800,1701878400,,,0,OB,,,
23235,jup_founders_week2_2,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_2,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_2_DESC,1,,3946,,,,23236|23238,0,1701280800,1701878400,,,0,,,,
23236,jup_founders_week2_2_mp,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_2,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_2_DESC,1,,,,,,,0,1701280800,1701878400,,,0,MP,,,
23238,jup_founders_week2_2_ob,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_2,a&JUP_OB_EVENT_CHALLENGES/FOUNDERS_WEEK2_2,15,,,,,,,0,1701280800,1701878400,,,0,OB,,,
23239,jup_founders_week2_3,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_3,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_3_DESC,1,,3951,,,,23240|23242,0,1701280800,1701878400,,,0,,,,
23240,jup_founders_week2_3_mp,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_3,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_3_DESC,10,,,,,,,0,1701280800,1701878400,,,0,MP,,,
23242,jup_founders_week2_3_ob,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_3,a&JUP_OB_EVENT_CHALLENGES/FOUNDERS_WEEK2_3,50,,,,,,,0,1701280800,1701878400,,,0,OB,,,
23243,jup_founders_week2_4,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_4,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_4_DESC,1,,36614,,,,23244|23246,0,1701280800,1701878400,,,0,,,,
23244,jup_founders_week2_4_mp,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_4,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_4_DESC,6,,,,,,,0,1701280800,1701878400,,,0,MP,,,
23246,jup_founders_week2_4_ob,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_4,a&JUP_OB_EVENT_CHALLENGES/FOUNDERS_WEEK2_4,4,,,,,,,0,1701280800,1701878400,,,0,OB,,,
