string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string
4043,iw9_ch_daily_p1_general_kills,a&CHALLENGE/DAILY_P1_GENERAL_KILLS,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_DESC,20,2500,,1,,,,,1,,,
14908,iw9_ch_daily_p1_general_longshot_kills_1,a&CHALLENGE/DAILY_P1_GENERAL_LONGSHOT_KILLS,a&CHALLENGE/DAILY_P1_GENERAL_LONGSHOT_KILLS_DESC,2,2500,,1,,,,,2,,,
1826,iw9_ch_daily_p1_general_wins,a&CHALLENGE/DAILY_P1_GENERAL_WINS,a&CHALLENGE/DAILY_P1_GENERAL_WINS_DESC,1,2500,,1,,,,,3,,,
3068,iw9_ch_daily_p1_general_kills_crouched,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_CROUCHED,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_CROUCHED_DESC,3,2500,,1,,,,,4,,,
2675,iw9_ch_daily_p1_general_headshots,a&CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS,a&CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS_DESC,5,2500,,1,,,,,5,,,
14909,iw9_ch_daily_p1_general_kills_mounted_1,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_MOUNTED,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_MOUNTED_DESC,1,2500,,1,,,,,7,,,
2754,iw9_ch_daily_p1_general_kills_point_blank,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_POINT_BLANK,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_POINT_BLANK_DESC,3,2500,,1,,,,,8,,,
1699,iw9_ch_daily_p1_general_kills_kingslayer,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_KINGSLAYER,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_KINGSLAYER_DESC,3,2500,,1,,,,,9,,,
925,iw9_ch_daily_p1_general_kills_secondary_weapon,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_SECONDARY_WEAPON,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_SECONDARY_WEAPON_DESC,3,2500,,1,,,,,10,,,
4008,iw9_ch_daily_p1_general_kills_recent_enemy,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_RECENT_ENEMY,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_RECENT_ENEMY_DESC,2,2500,,1,,,,,11,,,
