string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,int
11838,jup_daily_ch_p1_general_kills_low_health,a&CHALLENGE/P1_GENERAL_KILLS_LOW_HEALTH,a&CHALLENGE/P1_GENERAL_KILLS_LOW_HEALTH_DESC,5,2500,,1,,,,,1,,,0
11840,jup_daily_ch_p1_general_assists,a&CHALLENGE/P1_GENERAL_ASSISTS,a&CHALLENGE/P1_GENERAL_ASSISTS_DESC,10,2500,,1,,,,,2,,,0
14354,jup_daily_ch_p1_general_kills,a&CHALLENGE/DAILY_P1_GENERAL_KILLS,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_DESC,35,2500,,1,,,,,3,,,0
14356,jup_daily_ch_p1_general_kills_crouched,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_CROUCHED,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_CROUCHED_DESC,6,2500,,1,,,,,4,,,0
14358,jup_daily_ch_p1_general_headshots,a&CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS,a&CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS_DESC,7,2500,,1,,,,,5,,,0
14361,jup_daily_ch_p1_general_kills_point_blank,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_POINT_BLANK,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_POINT_BLANK_DESC,6,2500,,1,,,,,6,,,0
14362,jup_daily_ch_p1_general_kills_kingslayer,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_KINGSLAYER,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_KINGSLAYER_DESC,6,2500,,1,,,,,7,,,0
14363,jup_daily_ch_p1_general_kills_secondary_weapon,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_SECONDARY_WEAPON,a&CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS_SECONDARY_WEAPON_DESC,5,2500,,1,,,,,8,,,0
14366,jup_daily_ch_p1_general_double_kills,a&CHALLENGE/DAILY_P1_GENERAL_DOUBLE_KILLS,a&CHALLENGE/DAILY_P1_GENERAL_DOUBLE_KILLS_DESC,5,2500,,1,,,,,9,,,0
14367,jup_daily_ch_p1_general_headshots_secondary_weapon,a&CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS_SECONDARY_WEAPON,a&CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS_SECONDARY_WEAPON_DESC,3,2500,,1,,,,,10,,,0
14386,jup_daily_ch_p1_general_kills_hipfire,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_HIPFIRE,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_HIPFIRE_DESC,5,2500,,1,,,,,11,,,0
14387,jup_daily_ch_p1_general_kills_1s1k,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_1S1K,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_1S1K_DESC,4,2500,,1,,,,,12,,,0
14388,jup_daily_ch_p1_general_kills_lethal,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_LETHAL,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_LETHAL_DESC,3,2500,,1,,,,,13,,,0
14389,jup_daily_ch_p1_general_kills_ads,a&CHALLENGE/DAILY_ADS,a&CHALLENGE/DAILY_ADS_DESC,25,2500,,1,,,,,14,,,0
12364,jup_daily_ch_p1_general_killstreak_3,a&CHALLENGE/STCRBOOK_KILL_KILLSTREAK_3,a&CHALLENGE/DAILY_P1_GENERAL_KILLSTREAK_3_DESC,4,2500,,1,,,,,15,,,0
11812,jup_daily_ch_p2_weapon_kills_ar,a&CHALLENGE/P2_WEAPON_KILLS_AR,a&CHALLENGE/P2_WEAPON_KILLS_AR_DESC,20,2500,,2,,,,,1,,,0
11813,jup_daily_ch_p2_weapon_kills_ar_hs,a&CHALLENGE/P2_WEAPON_KILLS_AR_HS,a&CHALLENGE/P2_WEAPON_KILLS_AR_HS_DESC,5,2500,,2,,,,,2,,,0
11814,jup_daily_ch_p2_weapon_kills_smg,a&CHALLENGE/P2_WEAPON_KILLS_SMG,a&CHALLENGE/P2_WEAPON_KILLS_SMG_DESC,20,2500,,2,,,,,3,,,0
11815,jup_daily_ch_p2_weapon_kills_smg_hs,a&CHALLENGE/P2_WEAPON_KILLS_SMG_HS,a&CHALLENGE/P2_WEAPON_KILLS_SMG_HS_DESC,5,2500,,2,,,,,4,,,0
11816,jup_daily_ch_p2_weapon_kills_sh,a&CHALLENGE/P2_WEAPON_KILLS_SH,a&CHALLENGE/P2_WEAPON_KILLS_SH_DESC,7,2500,,2,,,,,5,,,0
11817,jup_daily_ch_p2_weapon_kills_pistol,a&CHALLENGE/P2_WEAPON_KILLS_PISTOL,a&CHALLENGE/P2_WEAPON_KILLS_PISTOL_DESC,5,2500,,2,,,,,6,,,0
