string,string,localized_a,string,string,string,localized_a,localized_a,string,int,int,string,string,string,localized_a,localized_a,localized_a,localized_a,xhash
0,strike,a&LEVELS/STRIKE,sp_str_cine_intro,900,sp_strike_loading,a&LEVELS/STRIKE_DESC,a&LEVELS/STRIKE_LOCATION,sp_strike_mission_preview,0,0,,,republic,a&LEVELS/STRIKE_CHYRONDATE,a&LEVELS/STRIKE_CHYRONWHO,a&LEVELS/STRIKE_CHYRONSQUAD,a&LEVELS/STRIKE_CHYRONLOCATION,#hash_c5fa7dc0531f854d
1,nightwar,a&LEVELS/NIGHTWAR,sp_nwr_cine_intro,4485,sp_nightwar_loading,a&LEVELS/NIGHTWAR_DESC,a&LEVELS/NIGHTWAR_LOCATION,sp_nightwar_mission_preview,0,0,,,republic,a&LEVELS/NIGHTWAR_CHYRONDATE,a&LEVELS/NIGHTWAR_CHYRONWHO,a&LEVELS/NIGHTWAR_CHYRONSQUAD,a&LEVELS/NIGHTWAR_CHYRONLOCATION,#hash_e3a396eda25f57ac
2,marina,a&LEVELS/MARINA,sp_mtg_cine_intro,5243,sp_marina_loading,a&LEVELS/MARINA_DESC,a&LEVELS/MARINA_LOCATION,sp_marina_mission_preview,0,0,,,netherlands,a&LEVELS/MARINA_CHYRONDATE,a&LEVELS/MARINA_CHYRONWHO,a&LEVELS/MARINA_CHYRONSQUAD,a&LEVELS/MARINA_CHYRONLOCATION,#hash_f60d0000c95e03fc
3,montage_canals,a&LEVELS/MONTAGE,sp_cnls_cine_intro,1965,sp_montage_canals_loading,a&LEVELS/MONTAGE_DESC,a&LEVELS/MONTAGE_LOCATION,sp_canals_mission_preview,0,0,,,netherlands,a&LEVELS/MONTAGE_CHYRONDATE,a&LEVELS/MONTAGE_CHYRONWHO,a&LEVELS/MONTAGE_CHYRONSQUAD,a&LEVELS/MONTAGE_CHYRONLOCATION,#hash_7fc8009b854aa6bf
4,border,a&LEVELS/BORDER,sp_brdr_cine_intro,950,sp_border_loading,a&LEVELS/BORDER_DESC,a&LEVELS/BORDER_LOCATION,sp_border_mission_preview,0,0,,,gulf,a&LEVELS/BORDER_CHYRONDATE,a&LEVELS/BORDER_CHYRONWHO,a&LEVELS/BORDER_CHYRONSQUAD,a&LEVELS/BORDER_CHYRONLOCATION,#hash_b1d1308de2c3376b
5,backstabbed,a&LEVELS/BACKSTABBED,sp_bs_cine_intro,6678,sp_backstabbed_loading,a&LEVELS/BACKSTABBED_DESC,a&LEVELS/BACKSTABBED_LOCATION,sp_backstabbed_mission_preview,0,0,,,mexico,a&LEVELS/BACKSTABBED_CHYRONDATE,a&LEVELS/BACKSTABBED_CHYRONWHO,a&LEVELS/BACKSTABBED_CHYRONSQUAD,a&LEVELS/BACKSTABBED_CHYRONLOCATION,#hash_3af67b38b0c7b25b
6,gunship_compound,a&LEVELS/GUNSHIP_COMPOUND,sp_gscom_cine_intro,1750,sp_gunship_compound_loading,a&LEVELS/GUNSHIP_COMPOUND_DESC,a&LEVELS/GUNSHIP_LOCATION,sp_gunship_compound_mission_preview,0,0,,,mexico,a&LEVELS/GUNSHIP_COMPOUND_CHYRONDATE,a&LEVELS/GUNSHIP_COMPOUND_CHYRONWHO,a&LEVELS/GUNSHIP_COMPOUND_CHYRONSQUAD,a&LEVELS/GUNSHIP_COMPOUND_CHYRONLOCATION,#hash_885317ab3eb4c06f
7,gunship_ambush,a&LEVELS/GUNSHIP_AMBUSH,sp_gsamb_cine_intro,533,sp_gunship_ambush_loading,a&LEVELS/GUNSHIP_AMBUSH_DESC,a&LEVELS/GUNSHIP_LOCATION,sp_gunship_ambush_mission_preview,0,0,,,mexico,a&LEVELS/GUNSHIP_AMBUSH_CHYRONDATE,a&LEVELS/GUNSHIP_AMBUSH_CHYRONWHO,a&LEVELS/GUNSHIP_AMBUSH_CHYRONSQUAD,a&LEVELS/GUNSHIP_AMBUSH_CHYRONLOCATION,#hash_8a60af43eb9e0af4
8,intercept,a&LEVELS/INTERCEPT,sp_intcpt_cine_intro,6721,sp_intercept_loading,a&LEVELS/INTERCEPT_DESC,a&LEVELS/INTERCEPT_LOCATION,sp_intercept_mission_preview,0,0,,,spain,a&LEVELS/INTERCEPT_CHYRONDATE,a&LEVELS/INTERCEPT_CHYRONWHO,a&LEVELS/INTERCEPT_CHYRONSQUAD,a&LEVELS/INTERCEPT_CHYRONLOCATION,#hash_cf35f2a20d29fbf7
9,convoy_chase,a&LEVELS/CONVOY_CHASE,sp_con_cine_intro,4225,sp_convoy_loading,a&LEVELS/CONVOY_CHASE_DESC,a&LEVELS/CONVOY_CHASE_LOCATION,sp_convoy_mission_preview,0,0,,,urzikstan,a&LEVELS/CONVOY_CHASE_CHYRONDATE,a&LEVELS/CONVOY_CHASE_CHYRONWHO,a&LEVELS/CONVOY_CHASE_CHYRONSQUAD,a&LEVELS/CONVOY_CHASE_CHYRONLOCATION,#hash_fe54a9668cb7758d
