string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int,string,string
166,head_mp_zimo_iw9_3_1_lod1,CUSTOMIZE/HEAD_A,m,0,0,0,,0,head_mp_fender_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,666,,0,0,full
195,head_mp_zimo_iw9_3_1,CUSTOMIZE/HEAD_A,m,0,0,0,,0,head_mp_fender_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,695,,0,0,full
390,head_mp_zimo_iw9_1_5_lod1,CUSTOMIZE/HEAD_A,m,0,0,0,,0,head_mp_gus_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,889,,0,0,full
403,head_mp_zimo_iw9_1_5,CUSTOMIZE/HEAD_A,m,0,0,0,,0,head_mp_gus_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,902,,0,0,full
345,head_mp_zimo_iw9_1_3_lod1,CUSTOMIZE/HEAD_A,m,0,0,0,,0,head_mp_fender_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,845,,0,0,full
337,head_mp_zimo_iw9_1_3,CUSTOMIZE/HEAD_A,m,0,0,0,,0,head_mp_fender_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,837,,0,0,full
344,head_mp_zimo_iw9_1_2_lod1,CUSTOMIZE/HEAD_A,m,0,0,0,,0,head_mp_fender_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,844,,0,0,full
336,head_mp_zimo_iw9_1_2,CUSTOMIZE/HEAD_A,m,0,0,0,,0,head_mp_fender_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,836,,0,0,full
21,head_mp_zimo_iw9_1_1_lod1,CUSTOMIZE/HEAD_A,m,0,0,0,,0,head_mp_fender_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,619,,0,0,minimal
8,head_mp_zimo_iw9_1_1,CUSTOMIZE/HEAD_A,m,0,0,0,,0,head_mp_fender_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,606,,0,0,full
152,head_mp_zeus_iw9_2_1_lod1,CUSTOMIZE/HEAD_A,m,0,0,0,,0,head_mp_fender_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,652,,0,0,full
