string,string,localized_a,localized_a,string,string,string,string,string,string,string,localized_a,string,string,string,string,string,string,string,string,string,string
0,war_idle_0,a&,a&,,,,,,iw7_mp_brodium_idle_warfighter,,a&,N,,,,Y,,,,,
1,heavy_idle_0,a&,a&,,,,,,iw7_mp_brodium_idle_heavy,,a&,N,,,,Y,,,,,
2,c6_idle_0,a&,a&,,,,,,iw7_mp_brodium_idle_synaptic,,a&,N,,,,Y,,,,,
3,ftl_idle_0,a&,a&,,,,,,iw7_mp_brodium_idle_ftl,,a&,N,,,,Y,,,,,
4,stryker_idle_0,a&,a&,,,,,,iw7_mp_brodium_idle_stryker,,a&,N,,,,Y,,,,,
5,ghost_idle_0,a&,a&,,,,,,iw7_mp_brodium_idle_ghost,,a&,N,,,,Y,,,,,
6,rig_neutral_idle_0,a&,a&,,,,,,iw7_mp_brodium_basic_idle_arms_down,,a&,N,,,,Y,,,,,
7,war_walkin_0,a&,a&,,,,,,iw7_mp_brodium_warfighter_walk_to_stop,,a&,N,,,,Y,,,,,
8,heavy_walkin_0,a&,a&,,,,,,iw7_mp_brodium_heavy_walk_to_stop,,a&,N,,,,Y,,,,,
9,c6_walkin_0,a&,a&,,,,,,iw7_mp_brodium_synaptic_walk_to_stop,,a&,N,,,,Y,,,,,
10,ftl_walkin_0,a&,a&,,,,,,iw7_mp_brodium_ftl_walk_to_stop,,a&,N,,,,Y,,,,,
11,stryker_walkin_0,a&,a&,,,,,,iw7_mp_brodium_stryker_walk_to_stop,,a&,N,,,,Y,,,,,
12,ghost_walkin_0,a&,a&,,,,,,iw7_mp_brodium_ghost_walk_to_stop,,a&,N,,,,Y,,,,,
13,ftl_transin_0,a&,a&,,,,,,iw7_mp_brodium_idle_ftl_trans_in,,a&,N,,,,Y,,,,,
14,ftl_transout_0,a&,a&,,,,,,iw7_mp_brodium_idle_ftl_trans_out,,a&,N,,,,Y,,,,,
15,stryker_transin_0,a&,a&,,,,,,iw7_mp_brodium_idle_stryker_trans_in,,a&,N,,,,Y,,,,,
16,stryker_transout_0,a&,a&,,,,,,iw7_mp_brodium_idle_stryker_trans_out,,a&,N,,,,Y,,,,,
17,war_transin_0,a&,a&,,,,,,iw7_mp_brodium_idle_warfighter_trans_in,,a&,N,,,,Y,,,,,
18,war_transout_0,a&,a&,,,,,,iw7_mp_brodium_idle_warfighter_trans_out,,a&,N,,,,Y,,,,,
19,heavy_transin_0,a&,a&,,,,,,iw7_mp_brodium_idle_heavy_trans_in,,a&,N,,,,Y,,,,,
20,heavy_transout_0,a&,a&,,,,,,iw7_mp_brodium_idle_heavy_trans_out,,a&,N,,,,Y,,,,,
21,ghost_transin_0,a&,a&,,,,,,iw7_mp_brodium_idle_ghost_trans_in,,a&,N,,,,Y,,,,,
22,ghost_transout_0,a&,a&,,,,,,iw7_mp_brodium_idle_ghost_trans_out,,a&,N,,,,Y,,,,,
23,c6_transin_0,a&,a&,,,,,,iw7_mp_brodium_idle_synaptic_trans_in,,a&,N,,,,Y,,,,,
24,c6_transout_0,a&,a&,,,,,,iw7_mp_brodium_idle_synaptic_trans_out,,a&,N,,,,Y,,,,,
25,iw7_taunt_rare_6,a&LUA_MENU_MP/TAUNT_SHARP_SALUTE,a&LUA_MENU_MP/TAUNT_PH_DESC,0,archetype_assault,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_salute,IW7_mp_taunt_salute,,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,,,,,,,0.3,0.2,79
26,iw7_taunt_rare_10,a&LUA_MENU_MP/TAUNT_PARADE_C6,a&LUA_MENU_MP/TAUNT_PH_DESC,0,archetype_scout,mission_team_jtf_wolverines_icon,,Iw7_mp_taunt_parade_rest01_synaptic,Iw7_mp_taunt_parade_rest01_synaptic,,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,,,,,,,0.25,0.17,125
27,iw7_taunt_rare_3,a&LUA_MENU_MP/TAUNT_RESPECT_BOW,a&LUA_MENU_MP/TAUNT_PH_DESC,0,archetype_assassin,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_bow01,IW7_mp_taunt_bow01,,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,,,,,,,0.68,0.08,69
28,iw7_taunt_rare_7,a&LUA_MENU_MP/TAUNT_RELAX_SALUTE,a&LUA_MENU_MP/TAUNT_PH_DESC,0,archetype_sniper,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_salute_casual,IW7_mp_taunt_salute_casual,,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,,,,,,,0.3,0.1,101
29,iw7_taunt_rare_8,a&LUA_MENU_MP/TAUNT_GLADIATOR_SALUTE,a&LUA_MENU_MP/TAUNT_PH_DESC,0,archetype_heavy,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_salute_gladiator,IW7_mp_taunt_salute_gladiator,,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,,,,,,,0.222,0.16,91
30,iw7_taunt_rare_14,a&LUA_MENU_MP/TAUNT_AT_ATTENTION,a&LUA_MENU_MP/TAUNT_PH_DESC,0,archetype_engineer,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_attention01,IW7_mp_taunt_attention01,,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,,,,,,,0.217,0.01,121
31,iw7_taunt_rare_4,a&LUA_MENU_MP/TAUNT_MISERY,a&LUA_MENU_MP/TAUNT_PH_DESC,0,archetype_scout,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_gun_to_face_synaptic,IW7_mp_taunt_gun_to_face_synaptic,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,,,,,,,0.3636,0.182,110
32,iw7_taunt_rare_18,a&LUA_MENU_MP/TAUNT_CHROME_POWER,a&LUA_MENU_MP/TAUNT_PH_DESC,0,archetype_scout,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_power_fist_synaptic,IW7_mp_taunt_power_fist_synaptic,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,,,,,,,0.18,0.1,95
33,iw7_taunt_rare_1,a&LUA_MENU_MP/TAUNT_CUT_THROAT,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_throat_cut02,IW7_mp_taunt_throat_cut02,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,,,,,,,0.25,0.1,78
34,iw7_taunt_rare_2,a&LUA_MENU_MP/TAUNT_THROAT_SLASH,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_throat_cut01,IW7_mp_taunt_throat_cut01,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,,,,,,,0.29,0.1,79
35,iw7_taunt_rare_5,a&LUA_MENU_MP/TAUNT_APPLAUD,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_clap02,IW7_mp_taunt_clap02,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,archetype_scout,IW7_mp_taunt_clap02_synaptic,IW7_mp_taunt_clap02_synaptic,,,,0.25,0.12,134
36,iw7_taunt_rare_9,a&LUA_MENU_MP/TAUNT_ATTENTION,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,Iw7_mp_taunt_attention03,Iw7_mp_taunt_attention03,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,archetype_scout,Iw7_mp_taunt_attention03_synaptic,Iw7_mp_taunt_attention03_synaptic,,,,0.23,0,129
37,iw7_taunt_rare_11,a&LUA_MENU_MP/TAUNT_SALUTE,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,Iw7_mp_taunt_salute01,Iw7_mp_taunt_salute01,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,archetype_scout,Iw7_mp_taunt_salute01_synaptic,Iw7_mp_taunt_salute01_synaptic,,,,0.227,0.1,110
