string,string,string,string,string,string,int
zone,global,mp/loot/br/plunder/lootset_global.csv,mp/loot/br/plunder/lootset_cache_spawns.csv,,#Global,0
zone,loot_cache,mp/loot/br/plunder/lootset_cache_base.csv,mp/loot/br/plunder/lootset_cache_spawns.csv,,#Special,0
zone,saba_hydro,mp/loot/br/plunder/lootset_global.csv,mp/loot/br/plunder/lootset_cache_spawns.csv,,#Zone,0
zone,saba_oilfield,mp/loot/br/plunder/lootset_global.csv,mp/loot/br/plunder/lootset_cache_spawns.csv,,#Zone,0
zone,saba_caves,mp/loot/br/plunder/lootset_global.csv,mp/loot/br/plunder/lootset_cache_spawns.csv,,#Zone,0
zone,saba_sira,mp/loot/br/plunder/lootset_global.csv,mp/loot/br/plunder/lootset_cache_spawns.csv,,#Zone,0
zone,saba_lone,mp/loot/br/plunder/lootset_global.csv,mp/loot/br/plunder/lootset_cache_spawns.csv,,#Zone,0
zone,saba_sunken,mp/loot/br/plunder/lootset_global.csv,mp/loot/br/plunder/lootset_cache_spawns.csv,,#Zone,0
zone,saba_fishtwn,mp/loot/br/plunder/lootset_global.csv,mp/loot/br/plunder/lootset_cache_spawns.csv,,#Zone,0
zone,saba_oldtwn,mp/loot/br/plunder/lootset_global.csv,mp/loot/br/plunder/lootset_cache_spawns.csv,,#Zone,0
zone,saba_fort,mp/loot/br/plunder/lootset_global.csv,mp/loot/br/plunder/lootset_cache_spawns.csv,,#Zone,0
zone,saba_airport,mp/loot/br/plunder/lootset_global.csv,mp/loot/br/plunder/lootset_cache_spawns.csv,,#Zone,0
zone,saba_cemetery,mp/loot/br/plunder/lootset_global.csv,mp/loot/br/plunder/lootset_cache_spawns.csv,,#Zone,0
zone,saba_observatory,mp/loot/br/plunder/lootset_global.csv,mp/loot/br/plunder/lootset_cache_spawns.csv,,#Zone,0
zone,saba_MtnTwn,mp/loot/br/plunder/lootset_global.csv,mp/loot/br/plunder/lootset_cache_spawns.csv,,#Zone,0
zone,saba_marshland,mp/loot/br/plunder/lootset_global.csv,mp/loot/br/plunder/lootset_cache_spawns.csv,,#Zone,0
zone,saba_moderncity,mp/loot/br/plunder/lootset_global.csv,mp/loot/br/plunder/lootset_cache_spawns.csv,,#Zone,0
