string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,,1,iw9_fe_op_male_bundle_idle_01,iw9_fe_op_male_bundle_idle_02,iw9_fe_op_male_bundle_idle_03,iw9_fe_op_male_bundle_idle_04,iw9_fe_op_male_bundle_turn_l_02,iw9_fe_op_male_bundle_turn_l_03,iw9_fe_op_male_bundle_turn_l_04,iw9_fe_op_male_bundle_turn_l_01,iw9_fe_op_male_bundle_turn_r_01,iw9_fe_op_male_bundle_turn_r_02,iw9_fe_op_male_bundle_turn_r_03,iw9_fe_op_male_bundle_turn_r_04
0,,0,iw9_fe_op_male_hl_bundle_idle_01,iw9_fe_op_male_hl_bundle_idle_02,iw9_fe_op_male_hl_bundle_idle_03,iw9_fe_op_male_hl_bundle_idle_04,iw9_fe_op_male_hl_bundle_turn_l_02,iw9_fe_op_male_hl_bundle_turn_l_03,iw9_fe_op_male_hl_bundle_turn_l_04,iw9_fe_op_male_hl_bundle_turn_l_01,iw9_fe_op_male_hl_bundle_turn_r_01,iw9_fe_op_male_hl_bundle_turn_r_02,iw9_fe_op_male_hl_bundle_turn_r_03,iw9_fe_op_male_hl_bundle_turn_r_04
1,,1,iw9_fe_op_female_bundle_idle_01,iw9_fe_op_female_bundle_idle_02,iw9_fe_op_female_bundle_idle_03,iw9_fe_op_female_bundle_idle_04,iw9_fe_op_female_bundle_turn_l_02,iw9_fe_op_female_bundle_turn_l_03,iw9_fe_op_female_bundle_turn_l_04,iw9_fe_op_female_bundle_turn_l_01,iw9_fe_op_female_bundle_turn_r_01,iw9_fe_op_female_bundle_turn_r_02,iw9_fe_op_female_bundle_turn_r_03,iw9_fe_op_female_bundle_turn_r_04
1,,0,iw9_fe_op_female_sl_bundle_idle_01,iw9_fe_op_female_sl_bundle_idle_02,iw9_fe_op_female_sl_bundle_idle_03,iw9_fe_op_female_sl_bundle_idle_04,iw9_fe_op_female_sl_bundle_turn_l_02,iw9_fe_op_female_sl_bundle_turn_l_03,iw9_fe_op_female_sl_bundle_turn_l_04,iw9_fe_op_female_sl_bundle_turn_l_01,iw9_fe_op_female_sl_bundle_turn_r_01,iw9_fe_op_female_sl_bundle_turn_r_02,iw9_fe_op_female_sl_bundle_turn_r_03,iw9_fe_op_female_sl_bundle_turn_r_04
1,neotokyo_eastern_a,1,iw9_fe_op_female_bundle_idle_01,iw9_fe_op_female_bundle_idle_02,iw9_fe_op_female_bundle_idle_03,iw9_fe_op_female_bundle_idle_04,iw9_fe_op_female_bundle_turn_l_02,iw9_fe_op_female_bundle_turn_l_03,iw9_fe_op_female_bundle_turn_l_04,iw9_fe_op_female_bundle_turn_l_01,iw9_fe_op_female_bundle_turn_r_01,iw9_fe_op_female_bundle_turn_r_02,iw9_fe_op_female_bundle_turn_r_03,iw9_fe_op_female_bundle_turn_r_04
1,neotokyo_eastern_a,0,iw9_fe_op_female_anime_bundle_idle_01,iw9_fe_op_female_anime_bundle_idle_02,iw9_fe_op_female_anime_bundle_idle_03,iw9_fe_op_female_anime_bundle_idle_04,iw9_fe_op_female_anime_bundle_turn_l_02,iw9_fe_op_female_anime_bundle_turn_l_03,iw9_fe_op_female_anime_bundle_turn_l_04,iw9_fe_op_female_anime_bundle_turn_l_01,iw9_fe_op_female_anime_bundle_turn_r_01,iw9_fe_op_female_anime_bundle_turn_r_02,iw9_fe_op_female_anime_bundle_turn_r_03,iw9_fe_op_female_anime_bundle_turn_r_04
0,homelander_eastern_a,1,iw9_fe_op_male_bundle_idle_01,iw9_fe_op_male_bundle_idle_02,iw9_fe_op_male_bundle_idle_03,iw9_fe_op_male_bundle_idle_04,iw9_fe_op_male_bundle_turn_l_02,iw9_fe_op_male_bundle_turn_l_03,iw9_fe_op_male_bundle_turn_l_04,iw9_fe_op_male_bundle_turn_l_01,iw9_fe_op_male_bundle_turn_r_01,iw9_fe_op_male_bundle_turn_r_02,iw9_fe_op_male_bundle_turn_r_03,iw9_fe_op_male_bundle_turn_r_04
0,homelander_eastern_a,0,iw9_fe_op_male_hl_bundle_idle_01,iw9_fe_op_male_hl_bundle_idle_02,iw9_fe_op_male_hl_bundle_idle_03,iw9_fe_op_male_hl_bundle_idle_04,iw9_fe_op_male_hl_bundle_turn_l_02,iw9_fe_op_male_hl_bundle_turn_l_03,iw9_fe_op_male_hl_bundle_turn_l_04,iw9_fe_op_male_hl_bundle_turn_l_01,iw9_fe_op_male_hl_bundle_turn_r_01,iw9_fe_op_male_hl_bundle_turn_r_02,iw9_fe_op_male_hl_bundle_turn_r_03,iw9_fe_op_male_hl_bundle_turn_r_04
0,blacknoir_eastern_a,1,iw9_fe_op_male_bundle_idle_01,iw9_fe_op_male_bundle_idle_02,iw9_fe_op_male_bundle_idle_03,iw9_fe_op_male_bundle_idle_04,iw9_fe_op_male_bundle_turn_l_02,iw9_fe_op_male_bundle_turn_l_03,iw9_fe_op_male_bundle_turn_l_04,iw9_fe_op_male_bundle_turn_l_01,iw9_fe_op_male_bundle_turn_r_01,iw9_fe_op_male_bundle_turn_r_02,iw9_fe_op_male_bundle_turn_r_03,iw9_fe_op_male_bundle_turn_r_04
0,blacknoir_eastern_a,0,iw9_fe_op_male_bn_bundle_idle_01,iw9_fe_op_male_bn_bundle_idle_02,iw9_fe_op_male_bn_bundle_idle_03,iw9_fe_op_male_bn_bundle_idle_04,iw9_fe_op_male_bn_bundle_turn_l_02,iw9_fe_op_male_bn_bundle_turn_l_03,iw9_fe_op_male_bn_bundle_turn_l_04,iw9_fe_op_male_bn_bundle_turn_l_01,iw9_fe_op_male_bn_bundle_turn_r_01,iw9_fe_op_male_bn_bundle_turn_r_02,iw9_fe_op_male_bn_bundle_turn_r_03,iw9_fe_op_male_bn_bundle_turn_r_04
