string,string,bool
none,MainMenu,TRUE
sp,CampaignMenu,TRUE
mp,MPMainMenu,TRUE
cp,MPMainMenu,TRUE
raid,MPMainMenu,TRUE
wz,BRMainMenu,TRUE
br,BRMainMenu,TRUE
dmz,DMZMainMenu,TRUE
ranked,MPMainMenu,TRUE
groundwar,MPMainMenu,TRUE
private,MPMainMenu,TRUE
mission_select,CampaignMenu,TRUE
new_game,CampaignMenu,TRUE
resume_game,CampaignMenu,TRUE
cinematics,CampaignMenu,TRUE
mission_select_offline,CampaignMenuOffline,FALSE
new_game_offline,CampaignMenuOffline,FALSE
resume_game_offline,CampaignMenuOffline,FALSE
cinematics_offline,CampaignMenuOffline,FALSE
mp_offline,MPSystemLinkMenu,FALSE
