string,string,string,string,string,string,string,string,string,string
shadow_ar_western,iw9_fe_op_select_generic_male_east_intro_01,iw9_fe_op_select_generic_male_east_intro_01_xcam,iw9_fe_op_select_generic_male_east_idle_01,iw9_fe_op_select_generic_male_east_confirm_01,iw9_fe_op_select_generic_male_east_confirm_idle_01,iw9_fe_op_select_generic_male_east_confirm_idle_OUT_01,iw9_fe_op_male_bundle_idle_01,iw9_ar_mike4_mp+iw9_rec_mike4+bar_ar_p01+stock_ar_p01_mike4+mag_ar_p01+pgrip_p01+ammo_556n,
shadow_smg_western,iw9_fe_op_select_generic_male_east_intro_01,iw9_fe_op_select_generic_male_east_intro_01_xcam,iw9_fe_op_select_generic_male_east_idle_01,iw9_fe_op_select_generic_male_east_confirm_01,iw9_fe_op_select_generic_male_east_confirm_idle_01,iw9_fe_op_select_generic_male_east_confirm_idle_OUT_01,iw9_fe_op_male_bundle_idle_01,iw9_ar_mike4_mp+iw9_rec_mike4+bar_ar_p01+stock_ar_p01_mike4+mag_ar_p01+pgrip_p01+ammo_556n,
shadow_sg_western,iw9_fe_op_select_generic_male_east_intro_01,iw9_fe_op_select_generic_male_east_intro_01_xcam,iw9_fe_op_select_generic_male_east_idle_01,iw9_fe_op_select_generic_male_east_confirm_01,iw9_fe_op_select_generic_male_east_confirm_idle_01,iw9_fe_op_select_generic_male_east_confirm_idle_OUT_01,iw9_fe_op_male_bundle_idle_01,iw9_ar_mike4_mp+iw9_rec_mike4+bar_ar_p01+stock_ar_p01_mike4+mag_ar_p01+pgrip_p01+ammo_556n,
shadow_lg_western,iw9_fe_op_select_generic_male_east_intro_01,iw9_fe_op_select_generic_male_east_intro_01_xcam,iw9_fe_op_select_generic_male_east_idle_01,iw9_fe_op_select_generic_male_east_confirm_01,iw9_fe_op_select_generic_male_east_confirm_idle_01,iw9_fe_op_select_generic_male_east_confirm_idle_OUT_01,iw9_fe_op_male_bundle_idle_01,iw9_ar_mike4_mp+iw9_rec_mike4+bar_ar_p01+stock_ar_p01_mike4+mag_ar_p01+pgrip_p01+ammo_556n,
shadow_dmr_western,iw9_fe_op_select_generic_male_east_intro_01,iw9_fe_op_select_generic_male_east_intro_01_xcam,iw9_fe_op_select_generic_male_east_idle_01,iw9_fe_op_select_generic_male_east_confirm_01,iw9_fe_op_select_generic_male_east_confirm_idle_01,iw9_fe_op_select_generic_male_east_confirm_idle_OUT_01,iw9_fe_op_male_bundle_idle_01,iw9_ar_mike4_mp+iw9_rec_mike4+bar_ar_p01+stock_ar_p01_mike4+mag_ar_p01+pgrip_p01+ammo_556n,
bravos_sas_a_western,iw9_fe_op_select_generic_male_west_intro_01,iw9_fe_op_select_generic_male_west_intro_01_xcam,iw9_fe_op_select_generic_male_west_idle_01,iw9_fe_op_select_generic_male_west_confirm_01,iw9_fe_op_select_generic_male_west_confirm_idle_01,iw9_fe_op_select_generic_male_west_confirm_idle_OUT_01,iw9_fe_op_male_bundle_idle_01,iw9_ar_mike4_mp+iw9_rec_mike4+bar_ar_p01+stock_ar_p01_mike4+mag_ar_p01+pgrip_p01+ammo_556n,
bravos_sas_b_western,iw9_fe_op_select_generic_male_west_intro_01,iw9_fe_op_select_generic_male_west_intro_01_xcam,iw9_fe_op_select_generic_male_west_idle_01,iw9_fe_op_select_generic_male_west_confirm_01,iw9_fe_op_select_generic_male_west_confirm_idle_01,iw9_fe_op_select_generic_male_west_confirm_idle_OUT_01,iw9_fe_op_male_bundle_idle_01,iw9_ar_mike4_mp+iw9_rec_mike4+bar_ar_p01+stock_ar_p01_mike4+mag_ar_p01+pgrip_p01+ammo_556n,
bravos_sas_c_western,iw9_fe_op_select_generic_male_west_intro_01,iw9_fe_op_select_generic_male_west_intro_01_xcam,iw9_fe_op_select_generic_male_west_idle_01,iw9_fe_op_select_generic_male_west_confirm_01,iw9_fe_op_select_generic_male_west_confirm_idle_01,iw9_fe_op_select_generic_male_west_confirm_idle_OUT_01,iw9_fe_op_male_bundle_idle_01,iw9_ar_mike4_mp+iw9_rec_mike4+bar_ar_p01+stock_ar_p01_mike4+mag_ar_p01+pgrip_p01+ammo_556n,
bravos_sas_d_western,iw9_fe_op_select_generic_male_west_intro_01,iw9_fe_op_select_generic_male_west_intro_01_xcam,iw9_fe_op_select_generic_male_west_idle_01,iw9_fe_op_select_generic_male_west_confirm_01,iw9_fe_op_select_generic_male_west_confirm_idle_01,iw9_fe_op_select_generic_male_west_confirm_idle_OUT_01,iw9_fe_op_male_bundle_idle_01,iw9_ar_mike4_mp+iw9_rec_mike4+bar_ar_p01+stock_ar_p01_mike4+mag_ar_p01+pgrip_p01+ammo_556n,
fender_western,iw9_fe_op_select_fender_east_intro_01,iw9_fe_op_select_generic_male_east_intro_01_xcam,iw9_fe_op_select_fender_east_idle_01,iw9_fe_op_select_fender_east_confirm_01,iw9_fe_op_select_fender_east_confirm_idle_01,iw9_fe_op_select_fender_east_confirm_idle_OUT_01,iw9_fe_op_male_bundle_idle_01,iw9_ar_golf3_mp+rec_golf3+bar_br_p02_golf3+stock_ar_p02_golf3+mag_br_p02_golf3+pgrip_br_ass_p02+ammo_762n,
kilgore_eastern,iw9_fe_op_select_ramstein_west_intro_01,iw9_fe_op_select_generic_male_west_intro_01_xcam,iw9_fe_op_select_ramstein_west_idle_01,iw9_fe_op_select_ramstein_west_confirm_01,iw9_fe_op_select_ramstein_west_confirm_idle_01,iw9_fe_op_select_ramstein_west_confirm_idle_OUT_01,iw9_fe_op_male_bundle_idle_01,iw9_br_soscar14_mp+rec_soscar14+bar_br_p18_soscar14+stockr_dm_p18_soscar14+drum_br_p18+ammo_762n,
calisto_eastern,iw9_fe_op_select_calisto_east_intro_01,iw9_fe_op_select_generic_female_east_intro_01_xcam,iw9_fe_op_select_calisto_east_idle_01,iw9_fe_op_select_calisto_east_confirm_01,iw9_fe_op_select_calisto_east_confirm_idle_01,iw9_fe_op_select_calisto_east_confirm_idle_OUT_01,iw9_fe_op_female_bundle_idle_01,iw9_ar_schotel_mp+rec_schotel+bar_br_p05+stock_ar_p05_schotel+mag_br_p05+pgrip_p05+ammo_762n,
hutch_western,iw9_fe_op_select_hutch_east_intro_01,iw9_fe_op_select_generic_male_east_intro_01_xcam,iw9_fe_op_select_hutch_east_idle_01,iw9_fe_op_select_hutch_east_confirm_01,iw9_fe_op_select_hutch_east_confirm_idle_01,iw9_fe_op_select_hutch_east_confirm_idle_OUT_01,iw9_fe_op_male_bundle_idle_01,iw9_lm_rkilo_mp+rec_rkilo+bar_lm_p04+stock_lmg_p04_rkilo+drum_lm_p04+pgrip_p04+ammo_762s,offhand_1h_vm_tablet_v0
chili_western,iw9_fe_op_select_chili_west_intro_01,iw9_fe_op_select_generic_male_west_intro_01_xcam,iw9_fe_op_select_chili_west_idle_01,iw9_fe_op_select_chili_west_confirm_01,iw9_fe_op_select_chili_west_confirm_idle_01,iw9_fe_op_select_chili_west_confirm_idle_OUT_01,iw9_fe_op_male_bundle_idle_01,iw9_dm_sbeta_mp+iw9_rec_sbeta+bar_dm_p19+stockr_dm_p19+guard_p19+lever_p19,
chili_western_wendingo,iw9_fe_op_select_chili_west_intro_01_wendigo,iw9_fe_op_select_generic_male_west_intro_01_xcam,iw9_fe_op_select_chili_west_idle_01_wendigo,iw9_fe_op_select_chili_west_confirm_01_wendigo,iw9_fe_op_select_chili_west_confirm_idle_01_wendigo,iw9_fe_op_select_chili_west_confirm_idle_OUT_01_wendigo,iw9_fe_op_male_bundle_idle_01,iw9_dm_sbeta_mp+iw9_rec_sbeta+bar_dm_p19+stockr_dm_p19+guard_p19+lever_p19,
stiletto_eastern,iw9_fe_op_select_stiletto_east_intro_01,iw9_fe_op_select_generic_female_east_intro_01_xcam,iw9_fe_op_select_stiletto_east_idle_01,iw9_fe_op_select_stiletto_east_confirm_01,iw9_fe_op_select_stiletto_east_confirm_idle_01,iw9_fe_op_select_stiletto_east_confirm_idle_OUT_01,iw9_fe_op_female_bundle_idle_01,iw9_sh_mbravo_mp+rec_mbravo+bartube_sh_heavy_p13+stockr_sh_p13_mbravo+guard_p13,
kpop_eastern,iw9_fe_op_select_horangi_east_intro_01,iw9_fe_op_select_generic_male_east_intro_01_xcam,iw9_fe_op_select_horangi_east_idle_01,iw9_fe_op_select_horangi_east_confirm_01,iw9_fe_op_select_horangi_east_confirm_idle_01,iw9_fe_op_select_horangi_east_confirm_idle_OUT_01,iw9_fe_op_male_bundle_idle_01,iw9_dm_mike14_mp+iw9_rec_mike14+bar_dm_p18_mike14+stock_dm_light_p18_mike14+mag_sn_p18+pgrip_dm_p18+grip_angled01+ammo_762n,
gus_western,iw9_fe_op_select_gus_west_intro_01,iw9_fe_op_select_generic_male_west_intro_01_xcam,iw9_fe_op_select_gus_west_idle_01,iw9_fe_op_select_gus_west_confirm_01,iw9_fe_op_select_gus_west_confirm_idle_01,iw9_fe_op_select_gus_west_confirm_idle_OUT_01,iw9_fe_op_male_bundle_idle_01,iw9_ar_mcharlie_mp+iw9_rec_mcharlie+bar_ar_p08+stock_ar_p08+mag_ar_p08+pgrip_ar_p08+ammo_556n,
