string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,int
23071,iw9_ch_secret_s6_zombie_run_over,a&CHALLENGE/SECRET,a&CHALLENGE/RUN_OVER_ZOMBIE,1,0,42045,,,,,6500,0,0,,,0
14845,iw9_ch_secret_s4_delta_win,a&CHALLENGE/SECRET,a&CHALLENGE/ANY_DELTA_WIN,1,0,15282,,,,,4000,0,0,,,0
14846,iw9_ch_secret_s4_delta_play_100,a&CHALLENGE/SECRET,a&CHALLENGE/ANY_DELTA_PLAY,50,0,30299,,,,,4000,0,0,,,0
14847,iw9_ch_secret_s4_delta_play_500,a&CHALLENGE/SECRET,a&CHALLENGE/ANY_DELTA_PLAY,200,0,30309,,,,,4000,0,0,,,0
14848,iw9_ch_secret_s4_delta_win_lock_1,a&CHALLENGE/SECRET,a&CHALLENGE/LOCKDOWN_DELTA_WIN,1,0,30297,,,,,4000,0,0,,,0
14849,iw9_ch_secret_s4_delta_win_lock_25,a&CHALLENGE/SECRET,a&CHALLENGE/LOCKDOWN_DELTA_WIN,25,0,30306,,,,,4000,0,0,,,0
14850,iw9_ch_secret_s4_delta_win_br,a&CHALLENGE/SECRET,a&CHALLENGE/BR_DELTA_WIN,1,0,30296,,,,,4000,0,0,,,0
14851,iw9_ch_secret_s4_delta_win_br_25,a&CHALLENGE/SECRET,a&CHALLENGE/BR_DELTA_WIN,25,0,30307,,,,,4000,0,0,,,0
14852,iw9_ch_secret_s4_delta_underwater,a&CHALLENGE/SECRET,a&CHALLENGE/DELTA_UNDERWATER_KILL,1,0,8849,,,,,4000,0,0,,,0
14853,iw9_ch_secret_s4_delta_finisher,a&CHALLENGE/SECRET,a&CHALLENGE/DELTA_EXECUTION,1,0,5050,,,,,4000,0,0,,,0
15025,iw9_ch_secret_s4_delta_melee_25,a&CHALLENGE/SECRET,a&CHALLENGE/DELTA_MELEE,25,0,30404,,,,,4000,0,0,,,0
15120,iw9_ch_secret_s4_body_scan_ee,a&CHALLENGE/SECRET,a&CHALLENGE/DELTA_BODY_EE,1,0,30479,,,,,4000,0,0,,,0
23075,iw9_ch_secret_s6_delta_win_zxp,a&CHALLENGE/SECRET,a&CHALLENGE/ZXP_WIN,1,0,30964,,,,,6500,0,0,,,0
23076,iw9_ch_secret_s6_delta_win_zxp_several,a&CHALLENGE/SECRET,a&CHALLENGE/ZXP_WIN,10,0,14566,,,,,6500,0,0,,,0
23077,iw9_ch_secret_s6_delta_play_zxp,a&CHALLENGE/SECRET,a&CHALLENGE/ZXP_PLAY,50,0,43142,,,,,6500,0,0,,,0
22360,iw9_ch_secret_s6_zxp_win_zombie,a&CHALLENGE/SECRET,a&CHALLENGE/ZXP_ZOMBIE_WIN,1,0,14426,,,,,6500,0,0,,,0
22361,iw9_ch_secret_s6_jumpscares,a&CHALLENGE/SECRET,a&CHALLENGE/JUMPSCARE,5,0,14518,,,,,6500,0,0,,,0
22362,iw9_ch_secret_s6_no_death_win,a&CHALLENGE/SECRET,a&CHALLENGE/NO_DEATH_WIN,1,0,21015,,,,,6500,0,0,,,0
23078,iw9_ch_secret_s6_witch_gun_ee,a&CHALLENGE/SECRET,a&CHALLENGE/WITCH_EE,1,0,39029,,,,,6500,0,0,,,0
23079,iw9_ch_secret_s6_chess_ee,a&CHALLENGE/SECRET,a&CHALLENGE/CHESS_EE,1,0,27585,,,,,6500,0,0,,,0
23054,iw9_ch_secret_s6_magsnap_tags,a&CHALLENGE/SECRET,a&CHALLENGE/MAGSNAP_TAGS,20,0,14564,,,,,6500,0,0,,,0
