string,localized_a,string,string,localized_a,string
kills,a&MPUI/KILLS,icon_scoreboard_kills,1,a&BATTLEPASS/KILLS_BONUS,icon_commendation_most_kills_alt
deaths,a&LUA_MENU/DEATHS,icon_scoreboard_deaths,,a&,
revives,a&LUA_MENU/REVIVES,icon_scoreboard_revives,1,a&BATTLEPASS/REVIVES_BONUS,icon_commendation_revives_alt
downs,a&MENU/DOWNS,,,a&,
assists,a&LUA_MENU/ASSISTS,,1,a&BATTLEPASS/ASSISTS_BONUS,icon_commendation_most_assists_alt
kdRatio,a&LUA_MENU/WEAPPERF_KDR,,,a&,
time,a&LUA_MENU/TIME,,,a&,
objTime,a&LUA_MENU/TIME,,,a&,
captures,a&LUA_MENU/CAPTURES,,1,a&BATTLEPASS/CAPTURES_BONUS,icon_commendation_captures_alt
defends,a&MENU/DEFENDS,,1,a&BATTLEPASS/DEFENDS_BONUS,icon_commendation_defends_alt
plants,a&LUA_MENU/PLANTS,icon_scoreboard_plants,1,a&BATTLEPASS/PLANTS_BONUS,icon_commendation_bombs_planted_alt
defuses,a&MENU/DEFUSES,,1,a&BATTLEPASS/DEFUSES_BONUS,icon_commendation_bombs_defused_alt
confirms,a&LUA_MENU/CONFIRMS,,1,a&BATTLEPASS/CONFIRM_BONUS,icon_commendation_tags_captured_alt
denies,a&LUA_MENU/DENIES,,1,a&BATTLEPASS/DENIES_BONUS,icon_commendation_tags_denied_alt
banks,a&LUA_MENU_MP/BANKS_CAPS,,1,a&BATTLEPASS/CONFIRM_BONUS,icon_commendation_tags_captured_alt
streak,a&LUA_MENU/LIFESTREAK,,1,a&BATTLEPASS/KILLSTREAK_BONUS,icon_commendation_killstreak_kills_alt
rescues,a&LUA_MENU/RESCUES,,1,a&BATTLEPASS/RESCUES_BONUS,icon_commendation_revives_alt
carries,a&LUA_MENU_MP/CARRIES,,1,a&BATTLEPASS/CARRIES_BONUS,icon_commendation_kills_carrier_alt
throws,a&LUA_MENU_MP/THROWS,,,a&,
infected,a&LUA_MENU/INFECTED_SCOREBOARD,,1,a&BATTLEPASS/INFECTED_KILLS_BONUS,icon_commendation_kills_infected_alt
scores,a&LUA_MENU/SCORES,,,a&,
stabs,a&LUA_MENU_MP/MELEES,,,a&,
setBacks,a&LUA_MENU_MP/SETBACKS,,1,a&BATTLEPASS/SETBACKS_BONUS,icon_commendation_setbacks_alt
returns,a&LUA_MENU_MP/RETURNS,,1,a&BATTLEPASS/FLAG_RETURNS_BONUS,icon_commendation_returns_alt
currency,a&LUA_MENU_MP/CURRENCY,,,a&,
bounty,a&LUA_MENU_MP/BOUNTY_LEVEL,,,a&,
escapes,a&LUA_MENU/ESCAPES,,,a&,
damage,a&LUA_MENU_MP/DAMAGE,,,a&,
headShots,a&LUA_MENU/WEAPPERF_HEADSHOTS,,,a&,
accuracy,a&LUA_MENU/WEAPPERF_ACCURACY,,,a&,
uses,a&LUA_MENU_MP/USES,,,a&,
scorePerMinute,a&LUA_MENU_MP/SCORE_PER_MINUTE,,,a&,
hits,a&LUA_MENU/HITS,,,a&,
healed,a&LUA_MENU/HEALED,,,a&,
cleanups,a&LUA_MENU_MP/CLEANUPS,,,a&,
contracts,a&LUA_MENU_MP/CONTRACTS,,,a&,
wins,a&LUA_MENU/WINS,,,a&,
topten,a&LUA_MENU/TOP_TEN,,,a&,
gamePlayed,a&LUA_MENU/GAMES_PLAYED,,,a&,
cash,a&LUA_MENU_MP/CASH,,,a&,
caches,a&LUA_MENU_MP/CACHES,,,a&,
missionParticipation,a&LUA_MENU_MP/MISSION_PARTICIPATION,,,a&,
contribution,a&LUA_MENU/CONTRIBUTION,,,a&,
segmentCaptures,a&LUA_MENU/CAPTURES,,,a&,
goals,a&LUA_MENU/GOALS,,,a&,
hvtKills,a&LUA_MENU/HVT_KILLS,,,a&,
