string,string,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a
0,buttons_default,a&MENU/DEFAULT,a&OPTIONS/SPRINT_HOLD_BREATH,a&MENU/MELEE_CHANGE_ZOOM,a&OPTIONS/AIM_DOWN_SIGHT,a&OPTIONS/FIRE_WEAPON,a&MENU/THROW_SPECIAL_GRENADE,a&MENU/USE_EQUIPMENT,a&MENU/JUMP,a&MENU/CROUCH_PRONE,a&MENU/USE_RELOAD,a&OPTIONS/SWITCH_WEAPON,a&MENU/DPAD_DESC,a&LUA_MENU_MP/PING_WHEEL,a&MENU/DPAD_RIGHT_DESC,a&OPTIONS/BACKPACK,a&MENU/DPAD_LEFT_DESC,a&LUA_MENU/MENU,a&LUA_MENU/MENU,a&MENU/SCOREBOARD,a&MENU/MAP
1,buttons_tactical,a&MENU/TACTICAL,a&OPTIONS/SPRINT_HOLD_BREATH,a&MENU/CROUCH_PRONE,a&OPTIONS/AIM_DOWN_SIGHT,a&OPTIONS/FIRE_WEAPON,a&MENU/THROW_SPECIAL_GRENADE,a&MENU/USE_EQUIPMENT,a&MENU/JUMP,a&MENU/MELEE_CHANGE_ZOOM,a&MENU/USE_RELOAD,a&OPTIONS/SWITCH_WEAPON,a&MENU/DPAD_DESC,a&LUA_MENU_MP/PING_WHEEL,a&MENU/DPAD_RIGHT_DESC,a&OPTIONS/BACKPACK,a&MENU/DPAD_LEFT_DESC,a&LUA_MENU/MENU,a&LUA_MENU/MENU,a&MENU/SCOREBOARD,a&MENU/MAP
2,buttons_lefty,a&MENU/LEFTY,a&MENU/MELEE_CHANGE_ZOOM,a&OPTIONS/SPRINT_HOLD_BREATH,a&OPTIONS/FIRE_WEAPON,a&OPTIONS/AIM_DOWN_SIGHT,a&MENU/USE_EQUIPMENT,a&MENU/THROW_SPECIAL_GRENADE,a&MENU/JUMP,a&MENU/CROUCH_PRONE,a&MENU/USE_RELOAD,a&OPTIONS/SWITCH_WEAPON,a&MENU/DPAD_DESC,a&LUA_MENU_MP/PING_WHEEL,a&MENU/DPAD_RIGHT_DESC,a&OPTIONS/BACKPACK,a&MENU/DPAD_LEFT_DESC,a&LUA_MENU/MENU,a&LUA_MENU/MENU,a&MENU/SCOREBOARD,a&MENU/MAP
3,buttons_nomad,a&MENU/NOMAD,a&OPTIONS/SPRINT_HOLD_BREATH,a&MENU/MELEE_CHANGE_ZOOM,a&MENU/USE_EQUIPMENT,a&OPTIONS/FIRE_WEAPON,a&MENU/THROW_SPECIAL_GRENADE,a&OPTIONS/AIM_DOWN_SIGHT,a&MENU/JUMP,a&MENU/CROUCH_PRONE,a&MENU/USE_RELOAD,a&OPTIONS/SWITCH_WEAPON,a&MENU/DPAD_DESC,a&LUA_MENU_MP/PING_WHEEL,a&MENU/DPAD_RIGHT_DESC,a&OPTIONS/BACKPACK,a&MENU/DPAD_LEFT_DESC,a&LUA_MENU/MENU,a&LUA_MENU/MENU,a&MENU/SCOREBOARD,a&MENU/MAP
4,buttons_nomad_tactical,a&MENU/NOMAD_TACTICAL,a&OPTIONS/SPRINT_HOLD_BREATH,a&MENU/CROUCH_PRONE,a&MENU/USE_EQUIPMENT,a&OPTIONS/FIRE_WEAPON,a&MENU/THROW_SPECIAL_GRENADE,a&OPTIONS/AIM_DOWN_SIGHT,a&MENU/JUMP,a&MENU/MELEE_CHANGE_ZOOM,a&MENU/USE_RELOAD,a&OPTIONS/SWITCH_WEAPON,a&MENU/DPAD_DESC,a&LUA_MENU_MP/PING_WHEEL,a&MENU/DPAD_RIGHT_DESC,a&OPTIONS/BACKPACK,a&MENU/DPAD_LEFT_DESC,a&LUA_MENU/MENU,a&LUA_MENU/MENU,a&MENU/SCOREBOARD,a&MENU/MAP
5,buttons_nomad_lefty,a&MENU/NOMAD_LEFTY,a&MENU/MELEE_CHANGE_ZOOM,a&OPTIONS/SPRINT_HOLD_BREATH,a&OPTIONS/FIRE_WEAPON,a&MENU/USE_EQUIPMENT,a&OPTIONS/AIM_DOWN_SIGHT,a&MENU/THROW_SPECIAL_GRENADE,a&MENU/JUMP,a&MENU/CROUCH_PRONE,a&MENU/USE_RELOAD,a&OPTIONS/SWITCH_WEAPON,a&MENU/DPAD_DESC,a&LUA_MENU_MP/PING_WHEEL,a&MENU/DPAD_RIGHT_DESC,a&OPTIONS/BACKPACK,a&MENU/DPAD_LEFT_DESC,a&LUA_MENU/MENU,a&LUA_MENU/MENU,a&MENU/SCOREBOARD,a&MENU/MAP
6,buttons_bumper_jumper,a&PLATFORM/BUMPER_JUMPER,a&OPTIONS/SPRINT_HOLD_BREATH,a&MENU/MELEE_CHANGE_ZOOM,a&OPTIONS/AIM_DOWN_SIGHT,a&OPTIONS/FIRE_WEAPON,a&MENU/JUMP,a&MENU/USE_EQUIPMENT,a&MENU/THROW_SPECIAL_GRENADE,a&MENU/CROUCH_PRONE,a&MENU/USE_RELOAD,a&OPTIONS/SWITCH_WEAPON,a&MENU/DPAD_DESC,a&LUA_MENU_MP/PING_WHEEL,a&MENU/DPAD_RIGHT_DESC,a&OPTIONS/BACKPACK,a&MENU/DPAD_LEFT_DESC,a&LUA_MENU/MENU,a&LUA_MENU/MENU,a&MENU/SCOREBOARD,a&MENU/MAP
7,buttons_bumper_jumper_tac,a&PLATFORM/BUMPER_JUMPER_TACTICAL,a&OPTIONS/SPRINT_HOLD_BREATH,a&MENU/CROUCH_PRONE,a&OPTIONS/AIM_DOWN_SIGHT,a&OPTIONS/FIRE_WEAPON,a&MENU/JUMP,a&MENU/USE_EQUIPMENT,a&MENU/THROW_SPECIAL_GRENADE,a&MENU/MELEE_CHANGE_ZOOM,a&MENU/USE_RELOAD,a&OPTIONS/SWITCH_WEAPON,a&MENU/DPAD_DESC,a&LUA_MENU_MP/PING_WHEEL,a&MENU/DPAD_RIGHT_DESC,a&OPTIONS/BACKPACK,a&MENU/DPAD_LEFT_DESC,a&LUA_MENU/MENU,a&LUA_MENU/MENU,a&MENU/SCOREBOARD,a&MENU/MAP
8,buttons_one_hand_gun,a&MENU/ONE_HAND_GUN,a&OPTIONS/SPRINT_HOLD_BREATH,a&MENU/MELEE_CHANGE_ZOOM,a&OPTIONS/AIM_DOWN_SIGHT,a&MENU/USE_EQUIPMENT,a&OPTIONS/FIRE_WEAPON,a&MENU/THROW_SPECIAL_GRENADE,a&MENU/JUMP,a&MENU/CROUCH_PRONE,a&MENU/USE_RELOAD,a&OPTIONS/SWITCH_WEAPON,a&MENU/DPAD_DESC,a&LUA_MENU_MP/PING_WHEEL,a&MENU/DPAD_RIGHT_DESC,a&OPTIONS/BACKPACK,a&MENU/DPAD_LEFT_DESC,a&LUA_MENU/MENU,a&LUA_MENU/MENU,a&MENU/SCOREBOARD,a&MENU/MAP
9,buttons_stick_move,a&MENU/STICK_MOVE,a&OPTIONS/SPRINT_HOLD_BREATH,a&MENU/JUMP,a&OPTIONS/AIM_DOWN_SIGHT,a&OPTIONS/FIRE_WEAPON,a&MENU/THROW_SPECIAL_GRENADE,a&MENU/USE_EQUIPMENT,a&MENU/MELEE_CHANGE_ZOOM,a&MENU/CROUCH_PRONE,a&MENU/USE_RELOAD,a&OPTIONS/SWITCH_WEAPON,a&MENU/DPAD_DESC,a&LUA_MENU_MP/PING_WHEEL,a&MENU/DPAD_RIGHT_DESC,a&OPTIONS/BACKPACK,a&MENU/DPAD_LEFT_DESC,a&LUA_MENU/MENU,a&LUA_MENU/MENU,a&MENU/SCOREBOARD,a&MENU/MAP
