string,string,localized_a,localized_a,string,string,string,string,string,string,string,string
8821,iw9_ch_op_unlock_chili,a&CHALLENGE/NAME_NONE,a&CHALLENGE/IW9_CH_OP_UNLOCK_CHILI_DESC,,5513,,,,CHALLENGE/BUNDLE_PURCHASE,0,
8822,iw9_ch_op_unlock_nova,a&CHALLENGE/NAME_NONE,a&CHALLENGE/IW9_CH_OP_UNLOCK_NOVA_DESC,,5546,,,,CHALLENGE/BUNDLE_PURCHASE,0,
8823,iw9_ch_op_unlock_reyes,a&CHALLENGE/NAME_NONE,a&CHALLENGE/IW9_CH_OP_UNLOCK_REYES_DESC,,11387,,,,CHALLENGE/BUNDLE_PURCHASE,0,
8824,iw9_ch_op_unlock_hutch,a&CHALLENGE/NAME_NONE,a&CHALLENGE/IW9_CH_OP_UNLOCK_HUTCH_DESC,,5514,,,,CHALLENGE/BUNDLE_PURCHASE,0,
12503,iw9_ch_op_unlock_shredder,a&CHALLENGE/NAME_NONE,a&CHALLENGE/IW9_CH_OP_UNLOCK_SHREDDER_DESC,,23543,,,,,2500,
14128,iw9_ch_op_unlock_blackcell,a&CHALLENGE/NAME_NONE,a&CHALLENGE/IW9_CH_OP_UNLOCK_BLACKCELL_DESC,,19103,,,,,3000,
8938,iw9_ch_op_unlock_luna,a&CHALLENGE/REWARD_MISSION_COMPLETE_DEFENDER_MT_ZAYA,a&CHALLENGE/IW9_CH_OP_UNLOCK_LUNA_DESC,1,11391,,,,CHALLENGE/BUNDLE_PURCHASE,0,
8939,iw9_ch_op_unlock_gromsko,a&CHALLENGE/REWARD_MISSION_COMPLETE_LOW_PROFILE,a&CHALLENGE/IW9_CH_OP_UNLOCK_GROMSKO_DESC,1,11390,,,,CHALLENGE/BUNDLE_PURCHASE,0,
8940,iw9_ch_op_unlock_zero,a&CHALLENGE/REWARD_MISSION_COMPLETE_DENIED_AREA,a&CHALLENGE/IW9_CH_OP_UNLOCK_ZERO_DESC,1,11393,,,,CHALLENGE/BUNDLE_PURCHASE,0,
10448,iw9_ch_op_unlock_gaz,a&CHALLENGE/IW9_CH_OP_UNLOCK_GAZ,a&CHALLENGE/IW9_CH_OP_UNLOCK_GAZ_DESC,1,17419,,,,,1500,
14779,iw9_ch_op_unlock_alex,a&CHALLENGE/IW9_CH_OP_UNLOCK_ALEX,a&CHALLENGE/IW9_CH_OP_UNLOCK_ALEX_DESC,1,27544,,,,,3500,
17307,iw9_ch_op_unlock_farah,a&CHALLENGE/IW9_CH_OP_UNLOCK_FARAH,a&CHALLENGE/IW9_CH_OP_UNLOCK_FARAH_DESC,1,5525,,,,,4500,
12316,iw9_ch_op_unlock_price,a&CHALLENGE/IW9_CH_OP_UNLOCK_PRICE,a&CHALLENGE/IW9_CH_OP_UNLOCK_PRICE_DESC,1,5512,,,,,2500,
8752,iw9_ch_op_unlock_kleo,a&CHALLENGE/IW9_CH_OP_UNLOCK_KLEO,a&CHALLENGE/IW9_CH_OP_UNLOCK_KLEO_DESC,1,5527,,,,CHALLENGE/BUNDLE_PURCHASE,0,
8753,iw9_ch_op_unlock_zimo,a&CHALLENGE/IW9_CH_OP_UNLOCK_ZIMO,a&CHALLENGE/IW9_CH_OP_UNLOCK_ZIMO_DESC,1,5509,,,,CHALLENGE/BUNDLE_PURCHASE,0,
8754,iw9_ch_op_unlock_konig,a&CHALLENGE/IW9_CH_OP_UNLOCK_KONIG,a&CHALLENGE/IW9_CH_OP_UNLOCK_KONIG_DESC,1,5543,,,,CHALLENGE/BUNDLE_PURCHASE,0,
8755,iw9_ch_op_unlock_roze,a&CHALLENGE/IW9_CH_OP_UNLOCK_ROZE,a&CHALLENGE/IW9_CH_OP_UNLOCK_ROZE_DESC,1,11392,,,,CHALLENGE/BUNDLE_PURCHASE,0,
8756,iw9_ch_op_unlock_fender,a&CHALLENGE/IW9_CH_OP_UNLOCK_FENDER,a&CHALLENGE/IW9_CH_OP_UNLOCK_FENDER_DESC,1,5517,,,,CHALLENGE/BUNDLE_PURCHASE,0,
8757,iw9_ch_op_unlock_gus,a&CHALLENGE/IW9_CH_OP_UNLOCK_GUS,a&CHALLENGE/IW9_CH_OP_UNLOCK_GUS_DESC,1,5532,,,,CHALLENGE/BUNDLE_PURCHASE,0,
8758,iw9_ch_op_unlock_horangi,a&CHALLENGE/IW9_CH_OP_UNLOCK_HORANGI,a&CHALLENGE/IW9_CH_OP_UNLOCK_HORANGI_DESC,1,5511,,,,CHALLENGE/BUNDLE_PURCHASE,0,
8759,iw9_ch_op_unlock_stiletto,a&CHALLENGE/IW9_CH_OP_UNLOCK_STILETTO,a&CHALLENGE/IW9_CH_OP_UNLOCK_STILETTO_DESC,1,5523,,,,CHALLENGE/BUNDLE_PURCHASE,0,
8760,iw9_ch_op_unlock_aksel,a&CHALLENGE/IW9_CH_OP_UNLOCK_AKSEL,a&CHALLENGE/IW9_CH_OP_UNLOCK_AKSEL_DESC,1,11389,,,,CHALLENGE/BUNDLE_PURCHASE,0,
8761,iw9_ch_op_unlock_conor,a&CHALLENGE/IW9_CH_OP_UNLOCK_CONOR,a&CHALLENGE/IW9_CH_OP_UNLOCK_CONOR_DESC,1,11388,,,,CHALLENGE/BUNDLE_PURCHASE,0,
8762,iw9_ch_op_unlock_calisto,a&CHALLENGE/IW9_CH_OP_UNLOCK_CALISTO,a&CHALLENGE/IW9_CH_OP_UNLOCK_CALISTO_DESC,1,5545,,,,CHALLENGE/BUNDLE_PURCHASE,0,
10444,iw9_raid_gaz_unlock,a&,a&CHALLENGE/GAZ_RAID_UNLOCK,2,17427,10445|10448,,,,1500,
12317,iw9_raid_price_unlock,a&,a&CHALLENGE/PRICE_RAID_SKIN_UNLOCK,2,24102,12269|12316,,,,2500,
10445,iw9_raid_gaz_activator,a&,a&CHALLENGE/RAID_UNLOCK_BUNDLE_DESC,1,18362,,,,,1500,
12269,iw9_raid_price_skin_activator,a&,a&CHALLENGE/RAID_UNLOCK_BUNDLE_DESC,1,24475,,,,,2500,
