string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int
setchancecol,mp/loot/br/delta/dmz/lootset_root.csv,2,,# root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_global.csv,3,,# global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_hotzone_on_test.csv,4,,# hotzone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_hotzone_off_test.csv,5,,# hotzone_on_test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_agent_backpack.csv,6,,# agent_backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_gascan_zone.csv,7,,# gas can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_office_cabinet.csv,8,,# office cabinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_supply_drop_samsite.csv,9,,# supply_drop_samsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_cache_base.csv,10,,# cache_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_cache_lege.csv,11,,# cache_lege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_hotzone.csv,12,,# hotzone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_locked_space_tier1.csv,13,,# ls_tier1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_locked_space_tier2.csv,14,,# ls_tier2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_locked_space_tier3.csv,15,,# ls_tier3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_ls_weapon_tier1.csv,16,,# ls_w_tier1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_ls_weapon_tier2.csv,17,,# ls_w_tier2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_ls_weapon_tier3.csv,18,,# ls_w_tier3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_station.csv,19,,# station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_cityhall.csv,20,,# cityhall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_library.csv,21,,# library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_firestation.csv,22,,# firestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_policestation.csv,23,,# policestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_zoo.csv,24,,# zoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_castle.csv,25,,# castle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_museum.csv,26,,# museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_terminal.csv,27,,# terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
