string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
setchancecol,mp/loot/br/dmz/biolab/lootset_root.csv,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_biolab_global.csv,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_biolab_dc.csv,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_biolab_lab.csv,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_biolab_hospital.csv,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_biolab_industrial.csv,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_biolab_restaurant.csv,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_biolab_office.csv,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_biolab_office_high.csv,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_biolab_lab_high.csv,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_biolab_locker_room.csv,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_biolab_armory_room.csv,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_cache_base.csv,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_cache_lege.csv,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_medicine_cabinet.csv,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_bar_cabinet.csv,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_school_locker_a.csv,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_school_locker_b.csv,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_computer_tower.csv,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_dresser.csv,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_fridge_a.csv,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_fridge_b.csv,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_fridge_mini.csv,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_fridge_old.csv,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_toolbox.csv,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_cash_register.csv,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_dmz_crate_wood.csv,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_office_cabinet.csv,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_medical_box_wall.csv,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_duffel_bag_01.csv,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_duffel_bag_02.csv,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_hanging_clothes.csv,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_weapon_locker.csv,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_safe.csv,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_agent_backpack.csv,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/biolab/lootset_biolab_elevator.csv,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tagReject,nodmz,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tagReject,nodrop,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rollChance,revive,,0,0,0,15,0,0,0,10,10,5,5,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
rollChance,plate_carrier,,0,0,0,0,0,0,0,10,10,5,10,0,0,5,0,10,20,0,0,5,0,0,2,0,0,0,0,0
rollChance,ammo,,0,0,0,0,25,0,0,0,0,5,0,0,15,0,0,10,25,0,0,15,150,0,20,0,50,0,0,0
rollChance,health,,10,10,10,10,25,10,10,0,0,10,0,0,35,15,0,5,15,0,0,0,100,0,10,0,0,0,0,0
rollChance,gear,,10,20,20,10,20,10,10,20,20,15,15,20,0,0,0,5,0,0,0,0,0,20,30,0,0,0,0,100
