string,string,string,string,string,string,string,string
indiana_dog,mp_fullbody_execution_dog_a,chr_menu_dog_idle_01,chr_menu_mp_squad_dog_01,,,,
universal_dog_riley,body_mp_exec_dog_riley_iw9_1_1,iw9_fe_lobby_dog_idle_sitting_01,,,,,
universal_dog_snow,mp_fullbody_execution_dog_snow,chr_menu_dog_idle_01,chr_menu_mp_squad_dog_01,,,,
universal_hyena,mp_hyena_rig_skeleton,chr_menu_hyena_idle_01,chr_menu_mp_squad_hyena_01,,,,
universal_dog_malinois,mp_fullbody_execution_dog_malinois,chr_menu_dog_idle_01,chr_menu_mp_squad_dog_01,,,,
raven,raven_perch,chr_menu_raven_idle_01,chr_menu_mp_squad_raven_01,chr_menu_mp_squad_raven_02,chr_menu_mp_squad_raven_03,chr_menu_mp_squad_raven_01,chr_menu_mp_squad_raven_03
hawk,mp_hawk_perch,chr_menu_raven_idle_01,chr_menu_mp_squad_hawk_01,chr_menu_mp_squad_hawk_02,chr_menu_mp_squad_hawk_03,chr_menu_mp_squad_hawk_01,chr_menu_mp_squad_hawk_03
universal_dog_hellhound,mp_fullbody_execution_dog_hellhound,chr_menu_dog_hellhound_idle_01,chr_menu_mp_squad_dog_hellhound_1,,,,
universal_dog_merlin,body_mp_exec_dog_merlin_iw9_1_2,iw9_fe_lobby_dog_idle_sitting_01,,,,,
universal_dog_darpa,body_mp_exec_dog_darpa_iw9_1_1,iw9_fe_lobby_dog_idle_sitting_01,,,,,
