string,string,string,localized_a,string,string,string,string,string,string,localized_a,string,string,string,localized_a,string,string,string,string,string,string,int
0,execution_default,debug_only,a&EXECUTIONS/LYNCH_DEFAULT,0,200,0,5,ui_execution_000,4,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_001,iw9_execution_knife,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_000,,,WZ2,IW9,0
1,neck_stab,debug_only,a&EXECUTIONS/LYNCH_DEFAULT,0,200,0,5,icon_execution_base,4,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_001,iw9_execution_knife,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,,,WZ2,IW9,0
2,execution_mp_juggernaut_01,jugg_only,a&EXECUTIONS/LYNCH_DEFAULT,0,200,0,1,icon_execution_base,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,jug_execution_000_stand_mp_2,iw9_lm_dblmg_execution_mp,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,,,WZ2,IW9,0
3,execution_mp_juggernaut_02,jugg_only,a&EXECUTIONS/LYNCH_DEFAULT,0,200,0,1,icon_execution_base,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,jug_execution_001_stand_mp_4,iw9_lm_dblmg_execution_mp,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,,,WZ2,IW9,0
4,execution_mp_juggernaut_03,jugg_only,a&EXECUTIONS/LYNCH_DEFAULT,0,200,0,1,icon_execution_base,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,jug_execution_002_stand_mp_8,iw9_lm_dblmg_execution_mp,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,,,WZ2,IW9,0
5,execution_000,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_00,0,200,0,1,ui_execution_000,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_000,iw9_execution_knife,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_000,,,WZ2,IW9,0
6,execution_001,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,ui_execution_001,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_001,iw9_execution_knife,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_001,,,WZ2,IW9,0
7,execution_002,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_02,0,200,0,1,ui_execution_002,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_002,iw9_execution_pistol,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_002,,,WZ2,IW9,0
8,execution_003,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_03,0,200,0,1,ui_execution_003,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_003,iw9_execution_pistol,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_003,,,WZ2,IW9,0
9,execution_004,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_04,0,200,0,1,ui_execution_004,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_004,iw9_execution_sword,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_004,,,WZ2,IW9,0
