string,string,localized_a,string,string,string,string,string,string
0,none,a&MENU/NONE,menu_default_slot,standard,,,,1
1,cos_001,a&CHARMS/COS_001,ui_charm_001,standard,,,,0
2,cos_002,a&CHARMS/COS_002,ui_charm_002,standard,,,,0
3,cos_003,a&CHARMS/COS_003,ui_charm_003,standard,,,,0
4,cos_004,a&CHARMS/COS_004,ui_charm_004,standard,,,,0
5,cos_005,a&CHARMS/COS_005,ui_charm_005,standard,,,,0
6,cos_006,a&CHARMS/COS_006,ui_charm_006,standard,,,,0
7,cos_007,a&CHARMS/COS_007,ui_charm_007,standard,,,,0
8,cos_008,a&CHARMS/COS_008,ui_charm_008,standard,,,,0
9,cos_009,a&CHARMS/COS_009,ui_charm_009,standard,,,,0
10,cos_010,a&CHARMS/COS_010,ui_charm_010,standard,,,,0
11,cos_011,a&CHARMS/COS_011,ui_charm_011,standard,,,,0
12,cos_012,a&CHARMS/COS_012,ui_charm_012,standard,,,,0
13,cos_013,a&CHARMS/COS_013,ui_charm_013,standard,,,,0
14,cos_014,a&CHARMS/COS_014,ui_charm_014,standard,,,,0
15,cos_015,a&CHARMS/COS_015,ui_charm_015,standard,,,,0
16,cos_016,a&CHARMS/COS_016,ui_charm_016,standard,,,,0
17,cos_017,a&CHARMS/COS_017,ui_charm_017,standard,,,,0
18,cos_018,a&CHARMS/COS_018,ui_charm_018,standard,,,,0
19,cos_019,a&CHARMS/COS_019,ui_charm_019,standard,,,,0
20,cos_020,a&CHARMS/COS_020,ui_charm_020,standard,,,,0
21,cos_021,a&CHARMS/COS_021,ui_charm_021,standard,,,,0
22,cos_022,a&CHARMS/COS_022,ui_charm_022,standard,,,,0
23,cos_023,a&CHARMS/COS_023,ui_charm_023,standard,,,,0
24,cos_024,a&CHARMS/COS_024,ui_charm_024,standard,,,,0
25,cos_025,a&CHARMS/COS_025,ui_charm_025,standard,,,,0
26,cos_026,a&CHARMS/COS_026,ui_charm_026,standard,,,,0
27,cos_027,a&CHARMS/COS_027,ui_charm_027,standard,,,,0
28,cos_028,a&CHARMS/COS_028,ui_charm_028,standard,,,,0
29,cos_029,a&CHARMS/COS_029,ui_charm_029,standard,,,,0
30,cos_030,a&CHARMS/COS_030,ui_charm_030,standard,,,,0
31,cos_031,a&CHARMS/COS_031,ui_charm_031,standard,,,,0
32,cos_032,a&CHARMS/COS_032,ui_charm_032,standard,,,,0
33,cos_033,a&CHARMS/COS_033,ui_charm_033,standard,,,,0
34,cos_034,a&CHARMS/COS_034,ui_charm_034,standard,,,,0
35,cos_035,a&CHARMS/COS_035,ui_charm_035,standard,,,,0
36,cos_036,a&CHARMS/COS_036,ui_charm_036,standard,,,,0
37,cos_037,a&CHARMS/COS_037,ui_charm_037,standard,,,,0
38,cos_038,a&CHARMS/COS_038,ui_charm_038,standard,,,,0
39,cos_039,a&CHARMS/COS_039,ui_charm_039,standard,,,,0
40,cos_040,a&CHARMS/COS_040,ui_charm_040,standard,,,,0
41,cos_041,a&CHARMS/COS_041,ui_charm_041,standard,,,,0
42,cos_042,a&CHARMS/COS_042,ui_charm_042,standard,,,,0
43,cos_043,a&CHARMS/COS_043,ui_charm_043,standard,,,,0
44,cos_044,a&CHARMS/COS_044,ui_charm_044,standard,,,,0
45,cos_045,a&CHARMS/COS_045,ui_charm_045,standard,,,,0
46,cos_046,a&CHARMS/COS_046,ui_charm_046,standard,,,,0
47,cos_047,a&CHARMS/COS_047,ui_charm_047,standard,,,,0
48,cos_048,a&CHARMS/COS_048,ui_charm_048,standard,,,,0
49,cos_049,a&CHARMS/COS_049,ui_charm_049,standard,,,,0
50,cos_050,a&CHARMS/COS_050,ui_charm_050,standard,,,,0
51,cos_051,a&CHARMS/COS_051,ui_charm_051,standard,,,,0
52,cos_052,a&CHARMS/COS_052,ui_charm_052,standard,,,,0
53,cos_053,a&CHARMS/COS_053,ui_charm_053,standard,,,,0
54,cos_054,a&CHARMS/COS_054,ui_charm_054,standard,,,,0
55,cos_055,a&CHARMS/COS_055,ui_charm_055,standard,,,,0
56,cos_056,a&CHARMS/COS_056,ui_charm_056,standard,,,,0
57,cos_057,a&CHARMS/COS_057,ui_charm_057,standard,,,,0
