xhash,int
#firstblood,50
#headshot,50
#avenger,50
#assistedsuicide,50
#buzzkill,40
#comeback,10
#longshot,50
#pointblank,50
#revenge,50
#double,60
#triple,61
#four,62
#five,63
#six,100
#seven,101
#eight,102
#multi,103
#posthumous,50
#first_place_kill,40
#one_shot_kill,50
#hash_ebb26e7b778b5bce,10
#gun_butt,50
#grenade_double,50
#fist_kill,50
#mantle_kill,50
#slide_kill,50
#stunned_kill,50
#backstab,50
#backfire,60
#quad_feed,1000
#save_teammate,50
#one_shot_two_kills,60
#explosive_stick,60
#launcher_direct_hit,40
#throwingknife_kill,40
#hash_a7776242889bf154,50
#kill_jumper,50
#wallrun_kill,50
#air_kill,50
#low_health_kill,50
#air_to_air_kill,50
#item_impact,500
#streak_5,100
#streak_10,300
#streak_15,500
#streak_20,998
#streak_25,999
#streak_30,1000
#streak_max,1001
#hash_cb4224860365fcea,40
#hash_beffe059b439a04d,40
#hash_2394ba621a51f99f,40
#hash_8be3737844d96a7c,40
#hash_d8cf5ddb93911ec7,40
#hash_f9846838425bd166,40
#hash_ec84a057d4a5e12b,40
#hash_5a96cac94547ef4a,40
#hash_f8aa004c4b4b068b,40
#hash_d8a25a045690ad98,40
#hash_1cd1b3aa64f660ac,40
#hash_a35a8ffb017484dc,40
#hash_9255267388c56b50,40
#hash_e7f9ef84c445b1bc,40
#hash_ef79dfdad6aebc79,40
#hash_b586f4ff6274dbfa,40
#hash_59d0f5d6f10109cf,40
#hash_1af9dfac1b8a9462,40
#hash_bef6748bf0181ea1,40
#hash_696183b97870d911,40
#hash_519e0923d0608694,60
#hash_f724d9c81e05584b,60
#hash_13b605e7ed53b72e,60
#hash_2dd6f453a706cd8c,60
#hash_6f7cf4dd6af9667e,60
#hash_106f292dcc64263f,60
#kill_ss_support_box,60
#kill_ss_manual_turret,60
#kill_ss_toma_strike,60
#kill_ss_multi_airstrike,60
#kill_ss_cruise_predator,60
#kill_ss_pac_sentry,60
#kill_ss_chopper_gunner,60
#hash_7d137502f73f6b67,60
#hash_520182fc11c6efef,60
#kill_ss_dronedrop,60
#kill_ss_uav,60
#kill_ss_counter_uav,60
#kill_ss_directional_uav,60
#hash_28f2bded5a715014,60
#kill_ss_fuel_airstrike,60
#hash_f88a0d21a577aa90,60
#kill_ss_flash_turret,60
#kill_ss_hover_jet,60
#hash_e2a2b49b5b2fe490,60
#kill_ss_sentry_gun,60
#kill_ss_bradley,60
#kill_ss_assault_drone,60
#hash_11fecf17f84e5fe3,60
#hash_2aa6915396af7c26,40
#hash_a7ec4d576f0d70ce,40
#hash_6aa18600c4c7d0bc,40
#hash_a82e8eabdeedf175,40
#hash_f307401509b57208,40
#hash_9da0e998b76f59c0,40
#hash_211d42c9466b88a9,40
#hash_7a2497e33031fd55,40
#hash_f0970378cd78d5d5,40
#hash_6f9e17d42ad7f02b,40
#hash_a740bbe92f487177,40
#hash_cc3663a121f59751,40
#hash_4067f80b34c29ed3,40
#hash_9bac70466eee27f,40
#hash_cf757a43b7e7cf34,40
#hash_1f75740f9b44995b,40
#hash_d296f22fd95c7a27,40
#hash_f728eac20df568fd,40
#hash_8faad544f5ca0cc0,40
#hash_850c1bc3a60423a0,40
#hash_e598fba4d0afd436,40
#hash_9f4d6d922d359a6f,40
#hash_59c9e511bf07339a,40
#hash_b21113802f70845a,40
#hash_4952de3ddcee5917,40
#hash_b0c64521535f7a07,40
#hash_5f05b4d9d478776b,40
#hash_b40ba516e988db31,40
#hash_e6be2dc886a03645,40
#hash_99cd8dd1b9c636e3,40
#hash_dc25df19fe3c666d,40
#hash_a6507a3e26ff2b8d,40
#hash_a09c7e1463e1f0ee,40
#hash_3dcfbfffd75c8ca9,40
#hash_e542c46edfbdd831,40
#hash_88dbd2a19fd6f49b,40
#hash_7b8c8a78ac292c0d,1500
#hash_5311f153a7fee40c,1000
#hash_f735b92839c5a687,1000
#hash_fe8ba8ad4e2e427b,1500
#hash_a3e7ebf904a38850,50
#hash_c1f0ec4c332c192,50
#mode_sd_last_defuse,50
#mode_sd_defuse,1000
#hash_67d7d6463cae5631,1000
#mode_sd_plant_save,50
#mode_sd_defuse_save,50
#hash_194ad9a7fdb13341,50
#hash_2fe2061528d49f0c,50
#hash_5c899f787270f337,50
#hash_4d98aed9e6ebbf28,60
#mode_kc_own_tags,60
#mode_kc_3_tags,60
#mode_dom_secure_b,50
#hash_a6e3b07f24a55e2b,50
#hash_843d5100afe8aee1,60
#mode_dom_secure,1000
#hash_7a10d07e9cc5745b,1000
#mode_dom_neutralized,50
#hash_a500ea17e54288a0,50
#hash_87f6a8171e213a70,50
#hash_2824db5042d26e38,50
#hash_58727f626aa03b19,50
#hash_8f7ff4d5395b6ac3,60
#hash_2e0245db0447f036,100
#mode_x_assault,60
#hash_2d96ced878338cd2,60
#mode_x_wipeout,60
#hash_32ffd90c03ec37c6,1500
#mode_gun_quick_kill,60
#mode_gun_melee_1st_place,1500
#mode_gun_melee,60
#match_complete,10
#hash_fe606101a22e3e79,10
#rock_paper_scissors_win,100
#simultaneous_kill,15
#kill_apc_rus,60
#hash_2d6568e59815732d,1500
