string,string,localized_a,string,string
iw8_ar_mike4,0,a&WEAPON/AR_MIKE4,icon_weapon_ar_mike4,rand_assault
iw8_ar_akilo47,1,a&WEAPON/AR_AKILO47,icon_weapon_ar_akilo47,rand_assault
iw8_ar_falima,2,a&WEAPON/AR_FALIMA,icon_weapon_ar_falima,rand_assault
iw8_sm_mpapa5,3,a&WEAPON/SM_MPAPA5,icon_weapon_sm_mpapa5,rand_smg
iw8_sm_papa90,4,a&WEAPON/SM_PAPA90,icon_weapon_sm_papa90,rand_smg
iw8_sm_uzulu,5,a&WEAPON/SM_UZULU,icon_weapon_sm_uzulu,rand_smg
iw8_sn_alpha50,6,a&WEAPON/SN_ALPHA50,icon_weapon_sn_alpha50,rand_sniper
iw8_sn_kilo98,7,a&WEAPON/SN_KILO98,icon_weapon_sn_kilo98,rand_sniper
iw8_lm_pkilo,8,a&WEAPON/LM_PKILO,icon_weapon_lm_pkilo,rand_lmg
iw8_lm_lima86,9,a&WEAPON/LM_LIMA86,icon_weapon_lm_lima86,rand_lmg
iw8_sh_oscar12,10,a&WEAPON/SH_OSCAR12,icon_weapon_sh_oscar12,rand_shotgun
iw8_sh_charlie725,11,a&WEAPON/SH_CHARLIE725,icon_weapon_sh_charlie725,rand_shotgun
iw8_pi_decho,12,a&WEAPON/PI_DECHO,icon_weapon_pi_decho,rand_pistol
iw8_pi_mike1911,13,a&WEAPON/PI_MIKE1911,icon_weapon_pi_mike_1911,rand_pistol
iw8_la_rpapa7,14,a&WEAPON/LA_RPAPA7,icon_weapon_la_rpapa7,rand_launcher
equip_frag,15,a&EQUIPMENT/FRAG,hud_icon_equipment_frag,rand_lethal
equip_semtex,16,a&EQUIPMENT/SEMTEX,hud_icon_equipment_semtex,rand_lethal
equip_molotov,17,a&EQUIPMENT/MOLOTOV,hud_icon_equipment_molotov,rand_lethal
equip_claymore,18,a&EQUIPMENT/CLAYMORE,hud_icon_equipment_claymore,rand_lethal
equip_throwing_knife,19,a&EQUIPMENT/THROWING_KNIFE,hud_icon_equipment_throwing_knife,rand_lethal
equip_c4,20,a&EQUIPMENT/C4,hud_icon_equipment_c4,rand_lethal
equip_flash,21,a&EQUIPMENT/FLASH,hud_icon_equipment_flash,rand_tactical
equip_smoke,22,a&EQUIPMENT/SMOKE,hud_icon_equipment_smoke,rand_tactical
equip_concussion,23,a&EQUIPMENT/CONCUSSION,hud_icon_equipment_stun,rand_tactical
equip_adrenaline,24,a&EQUIPMENT/ADRENALINE,hud_icon_equipment_stim,rand_tactical
none,25,a&WEAPON/FISTS,hud_icon_weapon_me_fist,rand_tactical
