string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,2439,,,0,2486,,,0,3674,,,0,1903,,,0,3856,,,0
1,2818,,,1,11526,,,1,,,,,,,,,,,,
2,2030,,,1,11520,,,1,,,,,,,,,,,,
3,3504,,,1,11523,,,1,,,,,,,,,,,,
4,11522,,,1,,,,,,,,,,,,,,,,
5,2155,,,1,11527,,,1,,,,,,,,,,,,
6,1346,,,2,11521,,,2,,,,,,,,,,,,
7,3297,,,2,11528,,,2,,,,,,,,,,,,
8,2272,,,2,,,,,,,,,,,,,,,,
9,1144,,,2,11529,,,2,,,,,,,,,,,,
10,720,,,2,,,,,,,,,,,,,,,,
11,2041,,,3,11524,,,3,,,,,,,,,,,,
12,3390,,,3,,,,,,,,,,,,,,,,
13,3361,,,3,,,,,,,,,,,,,,,,
14,1301,,,3,,,,,,,,,,,,,,,,
15,2046,,,3,11519,,,3,,,,,,,,,,,,
16,2133,,,4,,,,,,,,,,,,,,,,
17,3559,,,4,,,,,,,,,,,,,,,,
18,1435,,,4,,,,,,,,,,,,,,,,
19,769,,,4,,,,,,,,,,,,,,,,
20,3247,,,4,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,
22,3749,,,5,,,,,,,,,,,,,,,,
23,685,,,5,,,,,,,,,,,,,,,,
24,2030,,,5,,,,,,,,,,,,,,,,
25,2055,,,5,,,,,,,,,,,,,,,,
26,3674,,,6,,,,,,,,,,,,,,,,
27,1726,,,6,,,,,,,,,,,,,,,,
28,1076,,,6,,,,,,,,,,,,,,,,
29,11763,,,6,,,,,,,,,,,,,,,,
