xhash,localized,localized,string,int,int
#br_ftue_parachute,&INFO_POPUPS/PARACHUTE_TITLE,&INFO_POPUPS/PARACHUTE_DESC,ui_mp_mobile_control_planejump,1,0
#br_ftue_supply_box,&INFO_POPUPS/SUPPLY_BOX_TITLE,&INFO_POPUPS/SUPPLY_BOX_DESC,ui_mp_br_loot_icon_generic_crate,1,1
#br_ftue_inventory,&INFO_POPUPS/INVENTORY_TITLE,&INFO_POPUPS/INVENTORY_DESC,,2,2
#br_ftue_sliding,&INFO_POPUPS/SLIDING_TITLE,&INFO_POPUPS/SLIDING_DESC,,2,3
#br_ftue_armor,&INFO_POPUPS/ARMOR_TITLE,&INFO_POPUPS/ARMOR_DESC,,1,4
#br_ftue_enemy_down,&INFO_POPUPS/ENEMY_DOWN_TITLE,&INFO_POPUPS/ENEMY_DOWN_DESC,,1,5
#br_ftue_controls,&INFO_POPUPS/CONTROLS_TITLE,&INFO_POPUPS/CONTROLS_DESC,,2,6
#br_ftue_circle,&INFO_POPUPS/CIRCLE_TITLE,&INFO_POPUPS/CIRCLE_DESC,,1,7
#br_ftue_gas,&INFO_POPUPS/GAS_TITLE,&INFO_POPUPS/GAS_DESC,,1,8
#br_ftue_revive,&INFO_POPUPS/REVIVE_TITLE,&INFO_POPUPS/REVIVE_DESC,,1,9
#br_ftue_ping,&INFO_POPUPS/PING_TITLE,&INFO_POPUPS/PING_DESC,,2,10
#br_ftue_buyback,&INFO_POPUPS/BUYBACK_TITLE,&INFO_POPUPS/BUYBACK_DESC,,1,11
#br_ftue_swimming,&INFO_POPUPS/SWIMMING_TITLE,&INFO_POPUPS/SWIMMING_DESC,,2,12
#br_ftue_driving,&INFO_POPUPS/DRIVING_TITLE,&INFO_POPUPS/DRIVING_DESC,,2,13
#br_ftue_interrogation,&INFO_POPUPS/INTERROGATION_TITLE,&INFO_POPUPS/INTERROGATION_DESC,,2,14
#br_ftue_stronghold,&INFO_POPUPS/STRONGHOLD_TITLE,&INFO_POPUPS/STRONGHOLD_DESC,,2,15
#br_ftue_suggested_landing,&INFO_POPUPS/INFIL_TITLE,&INFO_POPUPS/INFIL_DESC,,1,16
