string,string,string,string,string,string,string,string,string,string,string,string,xhash32,xhash32,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized
item,brloot_ammo_12g,ammo,0,16,,,,,,,,x32#hash_14c,x32#hash_14c,ui_mp_br_loot_icon_ammo_shells_detail,br_pickup_ammo,,,40,,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_ammo_shells_detail,,&MP/BR_AMMO_SHOTGUN
item,brloot_ammo_50cal,ammo,0,16,,,,,,,,x32#hash_c7c1c3f0,x32#hash_14c,ui_mp_br_loot_icon_ammo_high_detail,br_pickup_ammo,,,40,,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_ammo_high_detail,,&MP/BR_AMMO_SNIPER
item,brloot_ammo_762,ammo,0,60,,,,,,,,x32#hash_14c,x32#hash_c7f06108,ui_mp_br_loot_icon_ammo_mid_detail,br_pickup_ammo,,,210,,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_ammo_mid_detail,,&MP/BR_AMMO_AR_LMG
item,brloot_ammo_919,ammo,0,60,,,,,,,,x32#hash_14c,x32#hash_14c,ui_mp_br_loot_icon_ammo_small_detail,br_pickup_ammo,,,150,,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_ammo_small_detail,,&MP/BR_AMMO_PISTOL_SMG
item,brloot_ammo_rocket,ammo,0,1,,,,,,,,x32#hash_c7bfbdbe,x32#hash_14c,ui_mp_br_loot_icon_ammo_rocket_detail,br_pickup_ammo,,,6,,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_ammo_rocket_detail,,&MP/BR_AMMO_LAUNCHER
item,brloot_equip_gasmask,gear,4,108,,,,,,,,x32#hash_c7fa1dd3,x32#hash_14c,ui_mp_br_loot_icon_gear_helmet,br_legendary_loot_pickup,,,,,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_gear_helmet,,&MP/BR_GASMASK
item,brloot_equip_gasmask_durable,gear,4,216,,,,,,,,x32#hash_c7fa1d0c,x32#hash_14c,ui_mp_br_loot_icon_gear_gasmask_durable,br_legendary_loot_pickup,,,,,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_gear_gasmask_durable,,&MP/BR_GASMASK_DURABLE
item,brloot_armor_plate,health,2,1,150,,,equip_armorplate,,,,x32#hash_14c,x32#hash_14c,ui_mp_br_loot_icon_health_armor_plates,,3,,5,armor_plate,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_health_armor_plates,,&EQUIPMENT/ARMOR_PLATE_BR
item,brloot_plate_pouch,health,4,1,8421,,,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_health_armor_satchel,,,,1,armor_satchel,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_health_armor_satchel,,&EQUIPMENT/BR_PLATE_POUCH
item,brloot_self_revive,revive,4,1,,,,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_revive_item,br_legendary_loot_pickup,,,,brloot_self_revive,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_revive_item,,&MP_BR_INGAME/KIOSK_ITEM_SELF_REVIVE
item,brloot_offhand_frag,lethal,0,1,,,,equip_frag,,,,x32#hash_14c,x32#hash_c7e04d4c,ui_mp_br_loot_icon_equipment_frag,iw9_br_pickup_lethal,,2,2,,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_equipment_frag,,&EQUIPMENT/FRAG_BR
item,brloot_offhand_atmine,lethal,2,1,,,,equip_at_mine,,,,x32#hash_c7fa1d72,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_equipment_at_mine,,,2,2,,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_equipment_at_mine,,&EQUIPMENT/ATMINE_BR
