string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,3122,,,0,3122,,,0,2371,,,0,2845,,,0,3202,,,0,1425,,,0,1425,,,0
1,1720,,,1,13300,,,1,,,,,,,,,,,,,,,,,,,,
2,676,,,1,13274,,,1,,,,,,,,,,,,,,,,,,,,
3,903,,,1,13243,,,1,,,,,,,,,,,,,,,,,,,,
4,13278,,,1,,,,,,,,,,,,,,,,,,,,,,,,
5,1243,,,1,13302,,,1,,,,,,,,,,,,,,,,,,,,
6,2424,,,2,13242,,,2,,,,,,,,,,,,,,,,,,,,
7,1431,,,2,13277,,,2,,,,,,,,,,,,,,,,,,,,
8,3258,,,2,13297,,,2,,,,,,,,,,,,,,,,,,,,
9,2150,,,2,13279,,,2,,,,,,,,,,,,,,,,,,,,
10,765,,,2,,,,,,,,,,,,,,,,,,,,,,,,
11,3388,,,3,,,,,,,,,,,,,,,,,,,,,,,,
12,2409,,,3,,,,,,,,,,,,,,,,,,,,,,,,
13,1227,,,3,,,,,,,,,,,,,,,,,,,,,,,,
14,822,,,3,,,,,,,,,,,,,,,,,,,,,,,,
15,813,,,3,,,,,,,,,,,,,,,,,,,,,,,,
16,3664,,,4,,,,,,,,,,,,,,,,,,,,,,,,
17,2381,,,4,,,,,,,,,,,,,,,,,,,,,,,,
18,1613,,,4,,,,,,,,,,,,,,,,,,,,,,,,
19,2184,,,4,,,,,,,,,,,,,,,,,,,,,,,,
20,1752,,,4,,,,,,,,,,,,,,,,,,,,,,,,
21,3467,,,5,,,,,,,,,,,,,,,,,,,,,,,,
22,3360,,,5,,,,,,,,,,,,,,,,,,,,,,,,
23,11791,,,5,,,,,,,,,,,,,,,,,,,,,,,,
