string,string,string,string,string,string
choose,0,,,,
zone,oldtwn_hotzone_01,mp/loot/br/default/lootset_stronghold_black.csv,mp/loot/br/default/lootset_cache_spawns_blacksite.csv,,#Zone, blacksite
zone,me_controltower_01,mp/loot/br/default/lootset_stronghold_black.csv,mp/loot/br/default/lootset_cache_spawns_blacksite.csv,,#Zone, blacksite
zone,fishtwn_hotzone_05,mp/loot/br/default/lootset_stronghold_black.csv,mp/loot/br/default/lootset_cache_spawns_blacksite.csv,,#Zone, blacksite
choose,2,,,,
zone,me_mc_postoffice_01,mp/loot/br/default/lootset_stronghold_black.csv,mp/loot/br/default/lootset_cache_spawns_blacksite.csv,,#Zone, blacksite
zone,me_resort_consite_01,mp/loot/br/default/lootset_stronghold_black.csv,mp/loot/br/default/lootset_cache_spawns_blacksite.csv,,#Zone, blacksite
zone,me_mc_police_academy_01,mp/loot/br/default/lootset_stronghold_black.csv,mp/loot/br/default/lootset_cache_spawns_blacksite.csv,,#Zone, blacksite
zone,saba_embassy,mp/loot/br/default/lootset_stronghold_black.csv,mp/loot/br/default/lootset_cache_spawns_blacksite.csv,,#Zone, blacksite
choose,3,,,,
zone,mp_fort_gw_sewers_01,mp/loot/br/default/lootset_stronghold_black.csv,mp/loot/br/default/lootset_cache_spawns_blacksite.csv,,#Zone, blacksite
zone,sira_mall_01_art,mp/loot/br/default/lootset_stronghold_black.csv,mp/loot/br/default/lootset_cache_spawns_blacksite.csv,,#Zone, blacksite
zone,exhume_warehouse,mp/loot/br/default/lootset_stronghold_black.csv,mp/loot/br/default/lootset_cache_spawns_blacksite.csv,,#Zone, blacksite
choose,1,,,,
zone,oilfield_hotzone_01,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,oilfield_hotzone_02,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,wartorn_hotzone_02,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
choose,1,,,,
