string,string,localized,localized,localized,localized,localized,localized,localized,localized,localized,localized,localized,localized,localized,localized,localized,localized,localized,localized
0,buttons_default,&MENU/DEFAULT,&OPTIONS/SPRINT_HOLD_BREATH_SP,&MENU/MELEE_CHANGE_ZOOM,&OPTIONS/AIM_DOWN_SIGHT,&OPTIONS/FIRE_WEAPON,&MENU/THROW_SPECIAL_GRENADE,&MENU/USE_EQUIPMENT,&MENU/JUMP,&MENU/CROUCH_PRONE,&MENU/USE_RELOAD,&OPTIONS/SWITCH_WEAPON,&MENU/DPAD_DESC,&OPTIONS/MISSION_ABILITY,&OPTIONS/MISSION_ABILITY_2,&MENU/DPAD_DOWN_DESC,&MENU/DPAD_LEFT_DESC,&MENU/PAUSE,&LUA_MENU/OBJECTIVES_OPERATION_MENU
1,buttons_tactical,&MENU/TACTICAL,&OPTIONS/SPRINT_HOLD_BREATH_SP,&MENU/CROUCH_PRONE,&OPTIONS/AIM_DOWN_SIGHT,&OPTIONS/FIRE_WEAPON,&MENU/THROW_SPECIAL_GRENADE,&MENU/USE_EQUIPMENT,&MENU/JUMP,&MENU/MELEE_CHANGE_ZOOM,&MENU/USE_RELOAD,&OPTIONS/SWITCH_WEAPON,&MENU/DPAD_DESC,&OPTIONS/MISSION_ABILITY,&OPTIONS/MISSION_ABILITY_2,&MENU/DPAD_DOWN_DESC,&MENU/DPAD_LEFT_DESC,&MENU/PAUSE,&LUA_MENU/OBJECTIVES_OPERATION_MENU
2,buttons_lefty,&MENU/LEFTY,&MENU/MELEE_CHANGE_ZOOM,&OPTIONS/SPRINT_HOLD_BREATH_SP,&OPTIONS/FIRE_WEAPON,&OPTIONS/AIM_DOWN_SIGHT,&MENU/USE_EQUIPMENT,&MENU/THROW_SPECIAL_GRENADE,&MENU/JUMP,&MENU/CROUCH_PRONE,&MENU/USE_RELOAD,&OPTIONS/SWITCH_WEAPON,&MENU/DPAD_DESC,&OPTIONS/MISSION_ABILITY,&OPTIONS/MISSION_ABILITY_2,&MENU/DPAD_DOWN_DESC,&MENU/DPAD_LEFT_DESC,&MENU/PAUSE,&LUA_MENU/OBJECTIVES_OPERATION_MENU
3,buttons_nomad,&MENU/NOMAD,&OPTIONS/SPRINT_HOLD_BREATH_SP,&MENU/MELEE_CHANGE_ZOOM,&MENU/USE_EQUIPMENT,&OPTIONS/FIRE_WEAPON,&MENU/THROW_SPECIAL_GRENADE,&OPTIONS/AIM_DOWN_SIGHT,&MENU/JUMP,&MENU/CROUCH_PRONE,&MENU/USE_RELOAD,&OPTIONS/SWITCH_WEAPON,&MENU/DPAD_DESC,&OPTIONS/MISSION_ABILITY,&OPTIONS/MISSION_ABILITY_2,&MENU/DPAD_DOWN_DESC,&MENU/DPAD_LEFT_DESC,&MENU/PAUSE,&LUA_MENU/OBJECTIVES_OPERATION_MENU
4,buttons_nomad_tactical,&MENU/NOMAD_TACTICAL,&OPTIONS/SPRINT_HOLD_BREATH_SP,&MENU/CROUCH_PRONE,&MENU/USE_EQUIPMENT,&OPTIONS/FIRE_WEAPON,&MENU/THROW_SPECIAL_GRENADE,&OPTIONS/AIM_DOWN_SIGHT,&MENU/JUMP,&MENU/MELEE_CHANGE_ZOOM,&MENU/USE_RELOAD,&OPTIONS/SWITCH_WEAPON,&MENU/DPAD_DESC,&OPTIONS/MISSION_ABILITY,&OPTIONS/MISSION_ABILITY_2,&MENU/DPAD_DOWN_DESC,&MENU/DPAD_LEFT_DESC,&MENU/PAUSE,&LUA_MENU/OBJECTIVES_OPERATION_MENU
5,buttons_nomad_lefty,&MENU/NOMAD_LEFTY,&MENU/MELEE_CHANGE_ZOOM,&OPTIONS/SPRINT_HOLD_BREATH_SP,&OPTIONS/FIRE_WEAPON,&MENU/USE_EQUIPMENT,&OPTIONS/AIM_DOWN_SIGHT,&MENU/THROW_SPECIAL_GRENADE,&MENU/JUMP,&MENU/CROUCH_PRONE,&MENU/USE_RELOAD,&OPTIONS/SWITCH_WEAPON,&MENU/DPAD_DESC,&OPTIONS/MISSION_ABILITY,&OPTIONS/MISSION_ABILITY_2,&MENU/DPAD_DOWN_DESC,&MENU/DPAD_LEFT_DESC,&MENU/PAUSE,&LUA_MENU/OBJECTIVES_OPERATION_MENU
6,buttons_bumper_jumper,&MENU/BUMPER_JUMPER,&OPTIONS/SPRINT_HOLD_BREATH_SP,&MENU/MELEE_CHANGE_ZOOM,&OPTIONS/AIM_DOWN_SIGHT,&OPTIONS/FIRE_WEAPON,&MENU/JUMP,&MENU/USE_EQUIPMENT,&MENU/THROW_SPECIAL_GRENADE,&MENU/CROUCH_PRONE,&MENU/USE_RELOAD,&OPTIONS/SWITCH_WEAPON,&MENU/DPAD_DESC,&OPTIONS/MISSION_ABILITY,&OPTIONS/MISSION_ABILITY_2,&MENU/DPAD_DOWN_DESC,&MENU/DPAD_LEFT_DESC,&MENU/PAUSE,&LUA_MENU/OBJECTIVES_OPERATION_MENU
7,buttons_bumper_jumper_tac,&MENU/BUMPER_JUMPER_TACTICAL,&OPTIONS/SPRINT_HOLD_BREATH_SP,&MENU/CROUCH_PRONE,&OPTIONS/AIM_DOWN_SIGHT,&OPTIONS/FIRE_WEAPON,&MENU/JUMP,&MENU/USE_EQUIPMENT,&MENU/THROW_SPECIAL_GRENADE,&MENU/MELEE_CHANGE_ZOOM,&MENU/USE_RELOAD,&OPTIONS/SWITCH_WEAPON,&MENU/DPAD_DESC,&OPTIONS/MISSION_ABILITY,&OPTIONS/MISSION_ABILITY_2,&MENU/DPAD_DOWN_DESC,&MENU/DPAD_LEFT_DESC,&MENU/PAUSE,&LUA_MENU/OBJECTIVES_OPERATION_MENU
8,buttons_one_hand_gun,&MENU/ONE_HAND_GUN,&OPTIONS/SPRINT_HOLD_BREATH_SP,&MENU/MELEE_CHANGE_ZOOM,&OPTIONS/AIM_DOWN_SIGHT,&MENU/USE_EQUIPMENT,&OPTIONS/FIRE_WEAPON,&MENU/THROW_SPECIAL_GRENADE,&MENU/JUMP,&MENU/CROUCH_PRONE,&MENU/USE_RELOAD,&OPTIONS/SWITCH_WEAPON,&MENU/DPAD_DESC,&OPTIONS/MISSION_ABILITY,&OPTIONS/MISSION_ABILITY_2,&MENU/DPAD_DOWN_DESC,&MENU/DPAD_LEFT_DESC,&MENU/PAUSE,&LUA_MENU/OBJECTIVES_OPERATION_MENU
9,buttons_stick_move,&MENU/STICK_MOVE,&OPTIONS/SPRINT_HOLD_BREATH_SP,&MENU/JUMP,&OPTIONS/AIM_DOWN_SIGHT,&OPTIONS/FIRE_WEAPON,&MENU/THROW_SPECIAL_GRENADE,&MENU/USE_EQUIPMENT,&MENU/MELEE_CHANGE_ZOOM,&MENU/CROUCH_PRONE,&MENU/USE_RELOAD,&OPTIONS/SWITCH_WEAPON,&MENU/DPAD_DESC,&OPTIONS/MISSION_ABILITY,&OPTIONS/MISSION_ABILITY_2,&MENU/DPAD_DOWN_DESC,&MENU/DPAD_LEFT_DESC,&MENU/PAUSE,&LUA_MENU/OBJECTIVES_OPERATION_MENU
