string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,2587,,,0,948,,,0,1130,,,0,3375,,,0,2660,,,0
1,3263,,,1,12857,,,1,,,,,,,,,,,,
2,2223,,,1,12887,,,1,,,,,,,,,,,,
3,3300,,,1,12879,,,1,,,,,,,,,,,,
4,2994,,,1,12874,,,1,,,,,,,,,,,,
5,2401,,,1,12876,,,1,,,,,,,,,,,,
6,12864,,,2,,,,,,,,,,,,,,,,
7,2504,,,2,,,,,,,,,,,,,,,,
8,1302,,,2,12891,,,2,,,,,,,,,,,,
9,1831,,,2,,,,,,,,,,,,,,,,
10,595,,,2,12853,,,2,,,,,,,,,,,,
11,3059,,,3,12859,,,3,,,,,,,,,,,,
12,2638,,,3,12855,,,3,,,,,,,,,,,,
13,1204,,,3,,,,,,,,,,,,,,,,
14,3233,,,3,,,,,,,,,,,,,,,,
15,1361,,,3,,,,,,,,,,,,,,,,
16,1930,,,4,,,,,,,,,,,,,,,,
17,3264,,,4,,,,,,,,,,,,,,,,
18,3213,,,4,,,,,,,,,,,,,,,,
19,2762,,,4,,,,,,,,,,,,,,,,
20,2254,,,4,,,,,,,,,,,,,,,,
21,1390,,,5,,,,,,,,,,,,,,,,
22,3246,,,5,,,,,,,,,,,,,,,,
23,1544,,,5,,,,,,,,,,,,,,,,
24,2730,,,5,,,,,,,,,,,,,,,,
25,1404,,,5,,,,,,,,,,,,,,,,
26,845,,,6,,,,,,,,,,,,,,,,
27,3239,,,6,,,,,,,,,,,,,,,,
28,11766,,,6,,,,,,,,,,,,,,,,
