string,string,string,string,string,string
choose,3,,,,
zone,oldtwn_hotzone_01,mp/loot/br/default/lootset_stronghold_black.csv,mp/loot/br/default/lootset_cache_spawns_blacksite.csv,,#Zone, blacksite
zone,me_controltower_01,mp/loot/br/default/lootset_stronghold_black.csv,mp/loot/br/default/lootset_cache_spawns_blacksite.csv,,#Zone, blacksite
zone,fishtwn_hotzone_05,mp/loot/br/default/lootset_stronghold_black.csv,mp/loot/br/default/lootset_cache_spawns_blacksite.csv,,#Zone, blacksite
choose,3,,,,
zone,airport_hotzone_01,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,airport_hotzone_02,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,wartorn_hotzone_01,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,wartorn_hotzone_02,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,lone_hotzone_01,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,lone_hotzone_02,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,oldtwn_hotzone_02,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,oldtwn_hotzone_03,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,oldtwn_hotzone_04,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
choose,3,,,,
zone,mtntwn_hotzone_01,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,mtntwn_hotzone_02,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,mtntwn_hotzone_03,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,mtntwn_hotzone_04,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,sira_hotzone_01,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,sira_hotzone_02,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,sira_hotzone_03,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,sira_hotzone_05,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,observatory_hotzone_01,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,observatory_hotzone_02,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,observatory_hotzone_03,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
choose,1,,,,
zone,fort_hotzone_01,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,fort_hotzone_02,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,fort_hotzone_03,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
choose,1,,,,
zone,sunken_hotzone_02,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,sunken_hotzone_03,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,sunken_hotzone_04,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,sunken_hotzone_05,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,sunken_hotzone_06,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
