string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,2242,,,0,1967,,,0,2567,,,0,1218,,,0
1,3429,,,1,12806,,,1,,,,,,,,
2,2669,,,1,12803,,,1,,,,,,,,
3,639,,,1,12804,,,1,,,,,,,,
4,811,,,1,12801,,,1,,,,,,,,
5,825,,,1,12800,,,1,,,,,,,,
6,3088,,,2,,,,,,,,,,,,
7,2033,,,2,12799,,,2,,,,,,,,
8,3269,,,2,,,,,,,,,,,,
9,3336,,,2,,,,,,,,,,,,
10,2578,,,2,,,,,,,,,,,,
11,2700,,,3,,,,,,,,,,,,
12,1118,,,3,12802,,,3,,,,,,,,
13,3159,,,3,,,,,,,,,,,,
14,3689,,,3,,,,,,,,,,,,
15,1436,,,3,,,,,,,,,,,,
16,1550,,,4,,,,,,,,,,,,
17,3587,,,4,,,,,,,,,,,,
18,3080,,,4,,,,,,,,,,,,
19,3697,,,4,,,,,,,,,,,,
20,3819,,,4,,,,,,,,,,,,
21,740,,,5,,,,,,,,,,,,
22,2722,,,5,,,,,,,,,,,,
23,3647,,,5,,,,,,,,,,,,
24,1590,,,5,,,,,,,,,,,,
25,2556,,,5,,,,,,,,,,,,
26,2497,,,6,12805,,,6,,,,,,,,
27,11756,,,6,,,,,,,,,,,,
