string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,1774,,,0,1058,,,0,2243,,,0,3444,,,0,2156,,,0,11632,,,0,11632,,,0
1,798,,,1,13260,,,1,,,,,,,,,,,,,,,,,,,,
2,2962,,,1,13235,,,1,,,,,,,,,,,,,,,,,,,,
3,1285,,,1,13239,,,1,,,,,,,,,,,,,,,,,,,,
4,646,,,1,1823,,,1,2801,,,1,1790,,,1,2993,,,1,13245,,,1,,,,
5,2593,,,1,13295,,,1,,,,,,,,,,,,,,,,,,,,
6,1012,,,2,13240,,,2,,,,,,,,,,,,,,,,,,,,
7,3648,,,2,13303,,,2,,,,,,,,,,,,,,,,,,,,
8,2313,,,2,13298,,,2,,,,,,,,,,,,,,,,,,,,
9,2707,,,2,,,,,,,,,,,,,,,,,,,,,,,,
10,3256,,,2,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2209,,,3,13270,,,3,,,,,,,,,,,,,,,,,,,,
13,2080,,,3,,,,,,,,,,,,,,,,,,,,,,,,
14,1722,,,3,,,,,,,,,,,,,,,,,,,,,,,,
15,3651,,,3,2739,,,3,2489,,,3,1034,,,3,2141,,,3,,,,,,,,
16,1812,,,4,,,,,,,,,,,,,,,,,,,,,,,,
17,994,,,4,,,,,,,,,,,,,,,,,,,,,,,,
18,2454,,,4,,,,,,,,,,,,,,,,,,,,,,,,
19,3130,,,4,,,,,,,,,,,,,,,,,,,,,,,,
20,2675,,,4,,,,,,,,,,,,,,,,,,,,,,,,
21,3886,,,5,3920,,,5,1168,,,5,1761,,,5,3166,,,5,,,,,,,,
22,7961,,,5,,,,,,,,,,,,,,,,,,,,,,,,
23,2078,,,5,,,,,,,,,,,,,,,,,,,,,,,,
24,1378,,,5,,,,,,,,,,,,,,,,,,,,,,,,
25,2729,,,5,,,,,,,,,,,,,,,,,,,,,,,,
26,11771,,,6,,,,,,,,,,,,,,,,,,,,,,,,
