string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
1,11357,,,0,1956,,,0,,,,,,,,,,,,,,,,
2,11008,,,1,,,,,,,,,,,,,,,,,,,,
3,3808,,,1,11133,,,1,,,,,,,,,,,,,,,,
4,2095,,,1,11113,,,1,,,,,,,,,,,,,,,,
5,3454,,,1,11080,,,1,3454,,,1,,,,,,,,,,,,
6,3138,,,1,11122,,,1,,,,,,,,,,,,,,,,
7,11113,,,2,,,,,,,,,,,,,,,,,,,,
8,1868,,,2,1868,,,2,1868,,,2,1868,,,2,1868,,,2,11117,,,2
9,2680,,,2,,,,,,,,,,,,,,,,,,,,
10,10889,,,2,,,,,,,,,,,,,,,,,,,,
11,2584,,,2,2584,,,2,,,,,,,,,,,,,,,,
12,2905,,,3,2905,,,3,,,,,,,,,,,,,,,,
13,3285,,,3,,,,,,,,,,,,,,,,,,,,
14,10951,,,3,,,,,,,,,,,,,,,,,,,,
15,1622,,,3,,,,,,,,,,,,,,,,,,,,
16,1660,,,3,11365,,,3,,,,,,,,,,,,,,,,
17,3918,,,4,,,,,,,,,,,,,,,,,,,,
18,2257,,,4,,,,,,,,,,,,,,,,,,,,
19,3032,,,4,3032,,,4,,,,,,,,,,,,,,,,
20,879,,,4,,,,,,,,,,,,,,,,,,,,
21,620,,,4,,,,,,,,,,,,,,,,,,,,
22,2117,,,5,,,,,,,,,,,,,,,,,,,,
23,11774,,,5,,,,,,,,,,,,,,,,,,,,
