string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,2765,,,0,1731,,,0,2554,,,0,2311,,,0,2364,,,0
1,11567,,,1,,,,,,,,,,,,,,,,
2,1128,,,1,11581,,,1,,,,,,,,,,,,
3,11580,,,1,,,,,,,,,,,,,,,,
4,2281,,,1,2281,,,1,,,,,,,,,,,,
5,1795,,,1,11591,,,1,,,,,,,,,,,,
6,3639,,,2,,,,,,,,,,,,,,,,
7,11584,,,2,,,,,,,,,,,,,,,,
8,11605,,,2,,,,,,,,,,,,,,,,
9,2293,,,2,2293,,,2,11585,,,2,,,,,,,,
10,3089,,,2,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,
12,2293,,,3,,,,,,,,,,,,,,,,
13,689,,,3,,,,,,,,,,,,,,,,
14,3400,,,3,,,,,,,,,,,,,,,,
15,1394,,,3,1394,,,3,,,,,,,,,,,,
16,2893,,,4,,,,,,,,,,,,,,,,
17,2412,,,4,2412,,,4,,,,,,,,,,,,
18,2652,,,4,,,,,,,,,,,,,,,,
19,1764,,,4,,,,,,,,,,,,,,,,
20,11752,,,4,,,,,,,,,,,,,,,,
