string,string
mp_firingrange,vision/underwater.vision
mp_saba,vision/mp_saba_underwater.vision
mp_hydro,vision/mp_saba_underwater.vision
mp_hydro_dev,vision/mp_saba_underwater.vision
mp_hydro_gw,vision/mp_saba_underwater.vision
mp_fishtown_gw,vision/mp_saba_underwater.vision
mp_caves_gw,vision/mp_saba_underwater.vision
mp_exhume_gw,vision/mp_saba_underwater.vision
mp_forsaken_gw,vision/mp_saba_underwater.vision
mp_fort,vision/mp_saba_underwater.vision
mp_fort_gw,vision/mp_saba_underwater.vision
mp_regional_gw,vision/mp_saba_underwater.vision
mp_sira_gw,vision/mp_saba_underwater.vision
mp_sunken_gw,vision/mp_saba_underwater.vision
mp_wartorn_gw,vision/mp_saba_underwater.vision
backstabbed,vision/backstabbed_underwater.vision
cp_raid1,vision/cp_raid1_maze.vision
cp_raid1_maze_lighting,vision/cp_raid1_maze.vision
marina,vision/marina_water.vision
wounded,vision/wounded_underwater.vision
