string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,1513,,,0,1691,,,0,3235,,,0,2129,,,0,1869,,,0
1,3036,,,1,12873,,,1,,,,,,,,,,,,
2,2036,,,1,12877,,,1,,,,,,,,,,,,
3,1701,,,1,1701,,,1,1701,,,1,12852,,,1,,,,
4,1205,,,1,12860,,,1,,,,,,,,,,,,
5,3855,,,1,1397,,,1,12897,,,1,,,,,,,,
6,3511,,,2,12888,,,2,,,,,,,,,,,,
7,2210,,,2,12900,,,2,,,,,,,,,,,,
8,2913,,,2,2913,,,2,2913,,,2,2913,,,2,,,,
9,12894,,,2,,,,,,,,,,,,,,,,
10,3893,,,2,12862,,,2,,,,,,,,,,,,
11,1462,,,3,11316,,,3,1800,,,3,,,,,,,,
12,847,,,3,847,,,3,,,,,,,,,,,,
13,11745,,,3,,,,,,,,,,,,,,,,
