string,string,string,localized,localized,string,string,string,string,string,string
7386,iw9_leagueplay_progression,133,&,&,1|5|10|15|20|25|30|35|40|45|50,,,,League Play Progression,0
7407,iw9_leagueplay_penalty,133,&,&,,,,,SyncToStats,0
7388,iw9_leagueplay_overall_stats,133,&,&,,,,,Overall Stats,0
7375,iw9_leagueplay_overall_best_stats,133,&,&,,,,,Overall Stats,0
7378,iw9_leagueplay_s0_skilldivision_stats,133,&,&,,,,,Skilldivision Stats,0
7379,iw9_leagueplay_s1_skilldivision_stats,133,&,&,,,,,Skilldivision Stats,1
7397,iw9_leagueplay_s2_skilldivision_stats,133,&,&,,,,,Skilldivision Stats,2
7383,iw9_leagueplay_s3_skilldivision_stats,133,&,&,,,,,Skilldivision Stats,3
7372,iw9_leagueplay_s4_skilldivision_stats,133,&,&,,,,,Skilldivision Stats,4
7381,iw9_leagueplay_s5_skilldivision_stats,133,&,&,,,,,Skilldivision Stats,5
7406,iw9_leagueplay_s6_skilldivision_stats,133,&,&,,,,,Skilldivision Stats,6
7384,iw9_leagueplay_s0_win_stats,133,&,&,,,,,Win Stats,0
7408,iw9_leagueplay_s1_win_stats,133,&,&,,,,,Win Stats,1
7376,iw9_leagueplay_s2_win_stats,133,&,&,,,,,Win Stats,2
7366,iw9_leagueplay_s3_win_stats,133,&,&,,,,,Win Stats,3
7391,iw9_leagueplay_s4_win_stats,133,&,&,,,,,Win Stats,4
7393,iw9_leagueplay_s5_win_stats,133,&,&,,,,,Win Stats,5
7400,iw9_leagueplay_s6_win_stats,133,&,&,,,,,Win Stats,6
7380,iw9_leagueplay_s0_hotstreak_stats,133,&,&,,,,,Hot Streak Stats,0
7389,iw9_leagueplay_s1_hotstreak_stats,133,&,&,,,,,Hot Streak Stats,1
7373,iw9_leagueplay_s2_hotstreak_stats,133,&,&,,,,,Hot Streak Stats,2
7403,iw9_leagueplay_s3_hotstreak_stats,133,&,&,,,,,Hot Streak Stats,3
7377,iw9_leagueplay_s4_hotstreak_stats,133,&,&,,,,,Hot Streak Stats,4
7404,iw9_leagueplay_s5_hotstreak_stats,133,&,&,,,,,Hot Streak Stats,5
7401,iw9_leagueplay_s6_hotstreak_stats,133,&,&,,,,,Hot Streak Stats,6
