string,string,string,string,string,string,string,string,string,string,string,string,localized,localized,string,string
dom,dmz_domination,1,recon,500,1,pve,50,2000,4000,7,9,&MP_DMZ_MISSIONS/DMZ_DOM_TITLE,&MP_DMZ_MISSIONS/DOM_LOOT_CARD_DESC,1000,5000
search,dmz_search,0,recon,50,1,pve,20,1000,3500,2,3,&,&,1000,3500
geiger,dmz_geiger_search,1,recon,350,1,pve,40,1000,12000,6,8,&MP_DMZ_MISSIONS/GEIGER_SEARCH_TITLE,&MP_DMZ_MISSIONS/GEIGER_SEARCH_LOOT_CARD_DESC,2000,5000
elim,dmz_elimination,1,combat,500,1,pve,60,1250,6000,6,9,&MP_DMZ_MISSIONS/DMZ_ELIM_TITLE,&MP_DMZ_MISSIONS/DMZ_ELIM_DESC,1000,5000
clear,dmz_clear_fortress,0,combat,75,2,pve,40,1000,6000,4,6,&MP_DMZ_MISSIONS/DMZ_CLEAR_FORTRESS_TITLE,&MP_DMZ_MISSIONS/DMZ_CLEAR_FORTRESS_DESC,1000,3500
trap,dmz_trap,1,recover,500,3,pvp,70,2000,12000,4,5,&MP_DMZ_MISSIONS/DMZ_TRAP_TITLE,&MP_DMZ_MISSIONS/TRAP_LOOT_CARD_DESC,1000,7500
bads,dmz_search_bads,0,sabotage,100,2,pve,65,5000,20000,1,1,&,&,1000,3500
sam,dmz_destroy_sam,0,sabotage,100,2,pvp,80,2500,10000,4,5,&,&,1000,3500
hostage,dmz_hostage,1,rescue,500,2,pve,70,2000,6000,4,6,&MP_DMZ_MISSIONS/DMZ_HOSTAGE_TITLE,&MP_DMZ_MISSIONS/HOSTAGE_LOOT_CARD_DESC,1000,6500
safe,dmz_safe_find,0,recover,125,2,pve,30,2000,4000,3,5,&,&,1000,3500
vehicledrive,dmz_vehicledrive,1,recover,1000,3,pve,90,1000,5000,4,6,&MP_DMZ_MISSIONS/VEHICLEDRIVE_TITLE,&MP_DMZ_MISSIONS/VEHICLEDRIVE_DESC,1000,4500
hunt,dmz_hunt,1,hunt,350,3,pvp,60,0,10000,4,5,&MP_DMZ_MISSIONS/HUNT_TITLE,&MP_DMZ_MISSIONS/HUNT_DESC,0,0
boatdrive,dmz_boatdrive,1,recover,1000,3,pvp,80,0,10000,4,6,&MP_DMZ_MISSIONS/BOATDRIVE_TITLE,&MP_DMZ_MISSIONS/BOATDRIVE_DESC,1000,4500
demo,dmz_demolition,1,sabotage,750,2,pvp,80,2500,10000,5,7,&MP_DMZ_MISSIONS/DEMO_TITLE,&MP_DMZ_MISSIONS/DEMO_LOOT_CARD_DESC,1000,6000
