string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
1,2663,,,0,2517,,,0,2663,,,0,3062,,,0,,,,,,,,
2,10620,,,1,,,,,,,,,,,,,,,,,,,,
3,11006,,,1,,,,,,,,,,,,,,,,,,,,
4,929,,,1,11101,,,1,,,,,,,,,,,,,,,,
5,10764,,,1,,,,,,,,,,,,,,,,,,,,
6,1825,,,1,11128,,,1,,,,,,,,,,,,,,,,
7,10741,,,2,,,,,,,,,,,,,,,,,,,,
8,1856,,,2,1856,,,2,1856,,,2,1856,,,2,1856,,,2,11123,,,2
9,2743,,,2,2743,,,2,,,,,,,,,,,,,,,,
10,3821,,,2,3821,,,2,,,,,,,,,,,,,,,,
11,10617,,,2,,,,,,,,,,,,,,,,,,,,
12,951,,,3,,,,,,,,,,,,,,,,,,,,
13,11325,,,3,,,,,,,,,,,,,,,,,,,,
14,1138,,,3,1138,,,3,,,,,,,,,,,,,,,,
15,11115,,,3,,,,,,,,,,,,,,,,,,,,
16,11792,,,3,,,,,,,,,,,,,,,,,,,,
