string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,11325,,,0,,,,,,,,,,,,
2,10871,,,1,,,,,,,,,,,,
3,3536,,,1,3536,,,1,3536,,,1,11100,,,1
4,,,,,,,,,,,,,,,,
5,2183,,,1,2183,,,1,,,,,,,,
6,10707,,,1,,,,,,,,,,,,
7,776,,,2,11086,,,2,,,,,,,,
8,11067,,,2,,,,,,,,,,,,
9,575,,,2,575,,,2,575,,,2,,,,
10,10863,,,2,,,,,,,,,,,,
11,1044,,,2,1203,,,2,,,,,,,,
12,11114,,,3,,,,,,,,,,,,
13,1219,,,3,1219,,,3,3558,,,3,,,,
14,10709,,,3,,,,,,,,,,,,
15,1221,,,3,,,,,,,,,,,,
16,11755,,,3,,,,,,,,,,,,
