string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,2763,,,0,1464,,,0,1570,,,0,2881,,,0,3424,,,0,,,,
1,2568,,,1,11130,,,1,,,,,,,,,,,,,,,,
2,3387,,,1,3387,,,1,3387,,,1,3387,,,1,11108,,,1,,,,
3,1423,,,1,1423,,,1,1423,,,1,1423,,,1,1423,,,1,11105,,,1
4,2169,,,1,11089,,,1,,,,,,,,,,,,,,,,
5,2109,,,1,11131,,,1,,,,,,,,,,,,,,,,
6,683,,,2,683,,,2,683,,,2,,,,,,,,,,,,
7,1238,,,2,11129,,,2,,,,,,,,,,,,,,,,
8,2340,,,2,11110,,,2,,,,,,,,,,,,,,,,
9,2140,,,2,2140,,,2,2140,,,2,,,,,,,,,,,,
10,2304,,,2,959,,,2,2787,,,2,1861,,,2,1684,,,2,11083,,,2
11,1682,,,3,11111,,,3,,,,,,,,,,,,,,,,
12,1090,,,3,11320,,,3,,,,,,,,,,,,,,,,
13,2756,,,3,,,,,,,,,,,,,,,,,,,,
14,2735,,,3,1281,,,3,,,,,,,,,,,,,,,,
15,1430,,,3,3763,,,3,1523,,,3,,,,,,,,,,,,
16,1458,,,4,11349,,,4,,,,,,,,,,,,,,,,
17,1793,,,4,,,,,,,,,,,,,,,,,,,,
18,11777,,,4,,,,,,,,,,,,,,,,,,,,
