string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,1705,,,0,990,,,0,3103,,,0,1661,,,0,2535,,,0
1,3181,,,1,13296,,,1,,,,,,,,,,,,
2,1069,,,1,13271,,,1,,,,,,,,,,,,
3,1915,,,1,13252,,,1,,,,,,,,,,,,
4,3883,,,1,13263,,,1,,,,,,,,,,,,
5,2997,,,1,13269,,,1,,,,,,,,,,,,
6,1950,,,2,13247,,,2,,,,,,,,,,,,
7,3702,,,2,,,,,,,,,,,,,,,,
8,1466,,,2,13287,,,2,,,,,,,,,,,,
9,1553,,,2,,,,,,,,,,,,,,,,
10,3722,,,2,13281,,,2,,,,,,,,,,,,
11,1958,,,3,,,,,,,,,,,,,,,,
12,656,,,3,,,,,,,,,,,,,,,,
13,1912,,,3,,,,,,,,,,,,,,,,
14,2946,,,3,,,,,,,,,,,,,,,,
15,2892,,,3,,,,,,,,,,,,,,,,
16,1644,,,4,,,,,,,,,,,,,,,,
17,3917,,,4,,,,,,,,,,,,,,,,
18,2670,,,4,,,,,,,,,,,,,,,,
19,837,,,4,,,,,,,,,,,,,,,,
20,3102,,,4,,,,,,,,,,,,,,,,
21,2761,,,5,,,,,,,,,,,,,,,,
22,1742,,,5,,,,,,,,,,,,,,,,
23,1952,,,5,,,,,,,,,,,,,,,,
24,3124,,,5,,,,,,,,,,,,,,,,
25,2863,,,5,,,,,,,,,,,,,,,,
26,11767,,,6,,,,,,,,,,,,,,,,
