string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,1462,,,0,2913,,,0,1800,,,0,1397,,,0,1869,,,0,7954,,,0
1,12875,,,1,,,,,,,,,,,,,,,,,,,,
2,7960,,,1,12901,,,1,,,,,,,,,,,,,,,,
3,3770,,,1,12865,,,1,,,,,,,,,,,,,,,,
4,12892,,,1,,,,,,,,,,,,,,,,,,,,
5,7955,,,1,,,,,,,,,,,,,,,,,,,,
6,12880,,,2,,,,,,,,,,,,,,,,,,,,
7,12881,,,2,,,,,,,,,,,,,,,,,,,,
8,1947,,,2,,,,,,,,,,,,,,,,,,,,
9,12882,,,2,,,,,,,,,,,,,,,,,,,,
10,7964,,,2,,,,,,,,,,,,,,,,,,,,
11,12863,,,3,,,,,,,,,,,,,,,,,,,,
12,7957,,,3,,,,,,,,,,,,,,,,,,,,
13,3259,,,3,1777,,,3,,,,,,,,,,,,,,,,
14,12878,,,3,,,,,,,,,,,,,,,,,,,,
15,604,,,3,11348,,,3,,,,,,,,,,,,,,,,
16,1172,,,4,,,,,,,,,,,,,,,,,,,,
17,7962,,,4,,,,,,,,,,,,,,,,,,,,
18,7956,,,4,12867,,,4,,,,,,,,,,,,,,,,
19,7963,,,4,,,,,,,,,,,,,,,,,,,,
20,11785,,,4,,,,,,,,,,,,,,,,,,,,
