string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,877,,,0,1600,,,0,,,,,,,,,,,,,,,,
1,10995,,,1,,,,,,,,,,,,,,,,,,,,
2,3255,,,1,3255,,,1,3255,,,1,11097,,,1,,,,,,,,
3,10971,,,1,,,,,,,,,,,,,,,,,,,,
4,11069,,,1,,,,,,,,,,,,,,,,,,,,
5,714,,,1,11121,,,1,,,,,,,,,,,,,,,,
6,2373,,,2,,,,,,,,,,,,,,,,,,,,
7,10642,,,2,,,,,,,,,,,,,,,,,,,,
8,938,,,2,938,,,2,938,,,2,938,,,2,938,,,2,11088,,,2
9,10655,,,2,,,,,,,,,,,,,,,,,,,,
10,3468,,,2,,,,,,,,,,,,,,,,,,,,
11,8635,,,3,,,,,,,,,,,,,,,,,,,,
12,1727,,,3,,,,,,,,,,,,,,,,,,,,
13,11043,,,3,,,,,,,,,,,,,,,,,,,,
14,2644,,,3,2644,,,3,,,,,,,,,,,,,,,,
15,602,,,3,,,,,,,,,,,,,,,,,,,,
16,8640,,,4,,,,,,,,,,,,,,,,,,,,
17,11769,,,4,,,,,,,,,,,,,,,,,,,,
