string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,3153,,,0,3595,,,0,2330,,,0,893,,,0,1869,,,0
1,12899,,,1,,,,,,,,,,,,,,,,
2,609,,,1,609,,,1,12885,,,1,,,,,,,,
3,12869,,,1,,,,,,,,,,,,,,,,
4,12895,,,1,,,,,,,,,,,,,,,,
5,12856,,,1,,,,,,,,,,,,,,,,
6,12872,,,2,,,,,,,,,,,,,,,,
7,3478,,,2,,,,,,,,,,,,,,,,
8,2686,,,2,,,,,,,,,,,,,,,,
9,12898,,,2,,,,,,,,,,,,,,,,
10,2314,,,2,,,,,,,,,,,,,,,,
11,2847,,,3,,,,,,,,,,,,,,,,
12,12893,,,3,,,,,,,,,,,,,,,,
13,2856,,,3,,,,,,,,,,,,,,,,
14,1575,,,3,,,,,,,,,,,,,,,,
15,3343,,,3,12898,,,3,,,,,,,,,,,,
16,3275,,,4,,,,,,,,,,,,,,,,
17,11758,,,4,,,,,,,,,,,,,,,,
