string,string,string,localized,localized,string,string,string,string,string,string,string,string
7368,iw9_leagueplay_s0_challenge_wins,133,&,&,5|10|25|50|75|100,,2500|5000|7500|8500|10000,2500|5000|7500|8500|10000,2500|5000|7500|8500|10000,Seasonal,Seasonal,0
7370,iw9_leagueplay_s1_challenge_wins,133,&,&,5|10|25|50|75|100,,2500|5000|7500|8500|10000,2500|5000|7500|8500|10000,2500|5000|7500|8500|10000,Seasonal,Seasonal,1
7395,iw9_leagueplay_s2_challenge_wins,133,&,&,5|10|25|50|75|100,,2500|5000|7500|8500|10000,2500|5000|7500|8500|10000,2500|5000|7500|8500|10000,Seasonal,Seasonal,2
7382,iw9_leagueplay_s3_challenge_wins,133,&,&,5|10|25|50|75|100,,2500|5000|7500|8500|10000,2500|5000|7500|8500|10000,2500|5000|7500|8500|10000,Seasonal,Seasonal,3
7402,iw9_leagueplay_s4_challenge_wins,133,&,&,5|10|25|50|75|100,,2500|5000|7500|8500|10000,2500|5000|7500|8500|10000,2500|5000|7500|8500|10000,Seasonal,Seasonal,4
7367,iw9_leagueplay_s5_challenge_wins,133,&,&,5|10|25|50|75|100,,2500|5000|7500|8500|10000,2500|5000|7500|8500|10000,2500|5000|7500|8500|10000,Seasonal,Seasonal,5
7390,iw9_leagueplay_s6_challenge_wins,133,&,&,5|10|25|50|75|100,,2500|5000|7500|8500|10000,2500|5000|7500|8500|10000,2500|5000|7500|8500|10000,Seasonal,Seasonal,6
7394,iw9_leagueplay_s0_end_season_sd_placement,133,&,&,3|6|9|12|15|18|19,,,,,Season End,Season End,0
7399,iw9_leagueplay_s1_end_season_sd_placement,133,&,&,3|6|9|12|15|18|19,,,,,Season End,Season End,1
7387,iw9_leagueplay_s2_end_season_sd_placement,133,&,&,3|6|9|12|15|18|19,,,,,Season End,Season End,2
7392,iw9_leagueplay_s3_end_season_sd_placement,133,&,&,3|6|9|12|15|18|19,,,,,Season End,Season End,3
7398,iw9_leagueplay_s4_end_season_sd_placement,133,&,&,3|6|9|12|15|18|19,,,,,Season End,Season End,4
7396,iw9_leagueplay_s5_end_season_sd_placement,133,&,&,3|6|9|12|15|18|19,,,,,Season End,Season End,5
7371,iw9_leagueplay_s6_end_season_sd_placement,133,&,&,3|6|9|12|15|18|19,,,,,Season End,Season End,6
