string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,666,,,0,2420,,,0,628,,,0,3871,,,0,2061,,,0
1,3055,,,1,11500,,,1,,,,,,,,,,,,
2,2589,,,1,11506,,,1,,,,,,,,,,,,
3,1162,,,1,11493,,,1,,,,,,,,,,,,
4,2955,,,1,11492,,,1,,,,,,,,,,,,
5,3802,,,1,11511,,,1,,,,,,,,,,,,
6,1611,,,2,11509,,,2,,,,,,,,,,,,
7,3691,,,2,3691,,,2,11495,,,2,,,,,,,,
8,3240,,,2,11490,,,2,,,,,,,,,,,,
9,1060,,,2,11508,,,2,,,,,,,,,,,,
10,1737,,,2,,,,,,,,,,,,,,,,
11,2280,,,3,,,,,,,,,,,,,,,,
12,1455,,,3,,,,,,,,,,,,,,,,
13,621,,,3,,,,,,,,,,,,,,,,
14,2177,,,3,,,,,,,,,,,,,,,,
15,3816,,,3,,,,,,,,,,,,,,,,
16,3028,,,4,,,,,,,,,,,,,,,,
17,1482,,,4,1482,,,4,1482,,,4,,,,,,,,
19,2839,,,4,11312,,,4,,,,,,,,,,,,
20,11747,,,4,,,,,,,,,,,,,,,,
