string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,1558,,,0,1729,,,0,,,,,,,,,,,,
1,10698,,,1,,,,,,,,,,,,,,,,
2,2383,,,1,2383,,,1,2383,,,1,2383,,,1,11125,,,1
3,10881,,,1,,,,,,,,,,,,,,,,
4,2288,,,1,2288,,,1,11092,,,1,,,,,,,,
5,3597,,,1,11091,,,1,,,,,,,,,,,,
6,10781,,,2,,,,,,,,,,,,,,,,
7,3381,,,2,11103,,,2,,,,,,,,,,,,
8,10603,,,2,,,,,,,,,,,,,,,,
9,2005,,,2,3615,,,2,3413,,,2,1174,,,2,3833,,,2
10,3756,,,2,3756,,,2,3756,,,2,,,,,,,,
11,3373,,,3,11338,,,3,,,,,,,,,,,,
12,741,,,3,11118,,,3,,,,,,,,,,,,
13,1882,,,3,,,,,,,,,,,,,,,,
14,1017,,,3,,,,,,,,,,,,,,,,
15,2702,,,3,11342,,,3,,,,,,,,,,,,
16,1377,,,4,,,,,,,,,,,,,,,,
17,1665,,,4,,,,,,,,,,,,,,,,
18,3655,,,4,,,,,,,,,,,,,,,,
19,11770,,,4,,,,,,,,,,,,,,,,
