string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,604,,,0,1701,,,0,1695,,,0,893,,,0,1869,,,0
1,12883,,,1,,,,,,,,,,,,,,,,
2,871,,,1,12866,,,1,,,,,,,,,,,,
3,12871,,,1,,,,,,,,,,,,,,,,
4,3595,,,1,3595,,,1,3595,,,1,12896,,,1,,,,
5,3905,,,1,12870,,,1,,,,,,,,,,,,
6,12886,,,2,,,,,,,,,,,,,,,,
7,1374,,,2,,,,,,,,,,,,,,,,
8,12890,,,2,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
10,2490,,,2,,,,,,,,,,,,,,,,
11,12884,,,3,,,,,,,,,,,,,,,,
12,2375,,,3,,,,,,,,,,,,,,,,
13,12858,,,3,,,,,,,,,,,,,,,,
14,3823,,,3,,,,,,,,,,,,,,,,
15,1813,,,3,,,,,,,,,,,,,,,,
16,3153,,,4,11340,,,4,,,,,,,,,,,,
17,652,,,4,,,,,,,,,,,,,,,,
18,2608,,,4,,,,,,,,,,,,,,,,
19,2836,,,4,,,,,,,,,,,,,,,,
20,11772,,,4,,,,,,,,,,,,,,,,
