string,string,string,string,string,string,string
2,navigation,(triangle),(waypoint),,,
3,danger,,,,,
4,gsc_objective,?,?,?,,
5,request,?,?,?,,
6,vehicle,,,(box? Idk),,
7,lethal,,,,,
8,supply box,,,,,
9,ammo_restock,,,,,
10,enemy,n/a,n/a,n/a,,
11,gascan_entity,,,,,
12,cuav,,,,,
13,sentry_turret,,,,,
14,navigation_ent,,,,,
15,civilian,n/a,n/a,n/a,,
16,dropped_weapon,,,,,
17,join_enemy_team,,,,,
18,join_my_team,,,,,
19,loot,,,,,
20,kiosk,,,,,
21,tablet,,,,,
22,gascan_scriptable,,,,,
23,scriptable_objective,,,,,
24,attraction,,,,,
25,door,,,,,
26,open_cache,,,,,
27,fulton,,,,,
28,go_here,(triangle),(actual icon),,,1
29,defending_here,,,,,2
30,watching_here,,,,,3
31,attacking_here,,,,,4
32,regroup_here,,,,,5
33,looting_here,,,,,6
34,stay_quiet,,,,,7
35,help_me,,,,,8
