string,string,string,string
0,438|1896|3935,205,american
1,7374|7444|3060|7921|7924|7927,7448,american
2,7931|7933|7935|7939|7940|7944,7918,american
3,7948|7952|7874|7955|7956|7959,7963,american
4,7965|7966|7970|7973|7974|7977,7978,american
0,1813|1704|278|7454|2742|3873,2782,british
1,7842|8072|7494|7493|7487|7485,7458,british
2,8075|8077|8080|8081|8084|7851,7848,british
3,8041|8044|8048|8049|7890|8053,7840,british
4,8057|8058|7841|8065|8067|8068,7847,british
0,87|684|563|7466|7468|7476,7984,german
1,7992|7993|7996|8000|8003|7465,7472,german
2,8007|8008|7844|8011|8012|7845,7846,german
3,8016|8020|7849|8021|8024|8027,7853,german
4,8030|8033|8031|8032|8037|8040,7990,german
