string,string,string,string,string,string
loadoutName,CLASS/CLASS1,CLASS/CLASS2,CLASS/CLASS3,CLASS/CLASS4,CLASS/CLASS5
loadoutPrimary,iw9_sm_mpapa5,iw9_ar_augolf,iw9_sh_mike1014,iw9_lm_slima,iw9_dm_pgolf1
loadoutPrimaryAttachment1,none,none,none,none,none
loadoutPrimaryAttachment2,none,none,none,none,none
loadoutPrimaryAttachment3,none,none,none,none,none
loadoutPrimaryAttachment4,none,none,none,none,none
loadoutPrimaryAttachment5,none,none,none,none,none
loadoutPrimaryCamo,none,none,none,none,none
loadoutPrimaryReticle,none,none,none,none,none
loadoutSecondary,iw9_pi_golf17,iw9_pi_golf17,iw9_pi_golf17,iw9_pi_golf18,iw9_pi_golf18
loadoutSecondaryAttachment1,none,none,none,none,none
loadoutSecondaryAttachment2,none,none,none,none,none
loadoutSecondaryAttachment3,none,none,none,none,none
loadoutSecondaryAttachment4,none,none,none,none,none
loadoutSecondaryAttachment5,none,none,none,none,none
loadoutSecondaryCamo,none,none,none,none,none
loadoutSecondaryReticle,none,none,none,none,none
loadoutEquipmentPrimary,equip_frag,equip_molotov,equip_semtex,equip_thermite,equip_frag
loadoutExtraPowerPrimary,FALSE,FALSE,FALSE,FALSE,FALSE
loadoutEquipmentSecondary,equip_adrenaline,equip_concussion,equip_flash,equip_smoke,equip_gas_grenade
loadoutExtraPowerSecondary,FALSE,FALSE,FALSE,FALSE,FALSE
loadoutPerk1,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null
loadoutPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null
loadoutPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null
loadoutExtraPerk1,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null
loadoutExtraPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null
loadoutExtraPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null
loadoutOverkill,FALSE,FALSE,FALSE,FALSE,FALSE
