string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,3431,,,0,3919,,,0,1775,,,0,2339,,,0,3323,,,0
1,997,,,1,13262,,,1,,,,,,,,,,,,
2,3844,,,1,13304,,,1,,,,,,,,,,,,
3,2947,,,1,13236,,,1,,,,,,,,,,,,
4,1919,,,1,13280,,,1,,,,,,,,,,,,
5,3101,,,1,13291,,,1,,,,,,,,,,,,
6,2502,,,2,13261,,,2,,,,,,,,,,,,
7,1894,,,2,,,,,,,,,,,,,,,,
8,1884,,,2,13283,,,2,,,,,,,,,,,,
9,1440,,,2,13255,,,2,,,,,,,,,,,,
10,3427,,,2,,,,,,,,,,,,,,,,
11,763,,,3,,,,,,,,,,,,,,,,
12,3019,,,3,,,,,,,,,,,,,,,,
13,1987,,,3,,,,,,,,,,,,,,,,
14,3638,,,3,,,,,,,,,,,,,,,,
15,2004,,,3,,,,,,,,,,,,,,,,
16,1024,,,4,,,,,,,,,,,,,,,,
17,867,,,4,,,,,,,,,,,,,,,,
18,2220,,,4,,,,,,,,,,,,,,,,
19,3549,,,4,,,,,,,,,,,,,,,,
20,3342,,,4,,,,,,,,,,,,,,,,
21,2149,,,5,,,,,,,,,,,,,,,,
22,2010,,,5,,,,,,,,,,,,,,,,
23,1148,,,5,,,,,,,,,,,,,,,,
24,578,,,5,,,,,,,,,,,,,,,,
25,2116,,,5,,,,,,,,,,,,,,,,
26,11768,,,6,,,,,,,,,,,,,,,,
