string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,2336,,,0,633,,,0,2637,,,0,807,,,0,3851,,,0
1,1315,,,1,1315,,,1,11408,,,1,,,,,,,,
2,2588,,,1,11421,,,1,,,,,,,,,,,,
3,11429,,,1,,,,,,,,,,,,,,,,
4,2928,,,1,11405,,,1,,,,,,,,,,,,
5,11427,,,1,,,,,,,,,,,,,,,,
6,11407,,,2,,,,,,,,,,,,,,,,
7,11426,,,2,,,,,,,,,,,,,,,,
8,1664,,,2,,,,,,,,,,,,,,,,
9,3659,,,2,11412,,,2,,,,,,,,,,,,
10,11410,,,2,,,,,,,,,,,,,,,,
11,921,,,3,,,,,,,,,,,,,,,,
12,907,,,3,,,,,,,,,,,,,,,,
13,11419,,,3,,,,,,,,,,,,,,,,
14,2236,,,3,,,,,,,,,,,,,,,,
15,3618,,,3,,,,,,,,,,,,,,,,
16,3382,,,4,3293,,,4,,,,,,,,,,,,
17,1645,,,4,,,,,,,,,,,,,,,,
18,11773,,,4,,,,,,,,,,,,,,,,
