string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
1,3241,,,0,3750,,,0,2509,,,0,1411,,,0
2,3906,,,1,882,,,1,13267,,,1,,,,
3,2089,,,1,13268,,,1,,,,,,,,
4,2526,,,1,2526,,,1,13290,,,1,,,,
5,686,,,1,13272,,,1,,,,,,,,
6,1679,,,1,13273,,,1,,,,,,,,
7,1748,,,2,13256,,,2,,,,,,,,
8,1161,,,2,13241,,,2,,,,,,,,
9,3068,,,2,13250,,,2,,,,,,,,
10,3384,,,2,11361,,,2,,,,,,,,
11,1918,,,2,,,,,,,,,,,,
12,1675,,,3,13292,,,3,,,,,,,,
13,1833,,,3,,,,,,,,,,,,
14,2476,,,3,,,,,,,,,,,,
15,2402,,,3,,,,,,,,,,,,
16,958,,,3,,,,,,,,,,,,
17,1392,,,4,,,,,,,,,,,,
18,2372,,,4,,,,,,,,,,,,
19,3344,,,4,,,,,,,,,,,,
20,11795,,,4,,,,,,,,,,,,
