string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,3667,,,0,830,,,0,3182,,,0,2666,,,0,2002,,,0
1,1906,,,1,12851,,,1,,,,,,,,,,,,
2,3290,,,1,12834,,,1,,,,,,,,,,,,
3,3576,,,1,12818,,,1,,,,,,,,,,,,
4,1807,,,1,12833,,,1,,,,,,,,,,,,
5,1329,,,1,12830,,,1,,,,,,,,,,,,
6,2090,,,2,,,,,,,,,,,,,,,,
7,1342,,,2,12835,,,2,,,,,,,,,,,,
8,1321,,,2,12850,,,2,,,,,,,,,,,,
9,623,,,2,12847,,,2,,,,,,,,,,,,
10,880,,,2,12848,,,2,,,,,,,,,,,,
11,1473,,,3,,,,,,,,,,,,,,,,
12,1954,,,3,,,,,,,,,,,,,,,,
13,2828,,,3,,,,,,,,,,,,,,,,
14,2585,,,3,,,,,,,,,,,,,,,,
15,3163,,,3,,,,,,,,,,,,,,,,
16,3423,,,4,,,,,,,,,,,,,,,,
17,1904,,,4,,,,,,,,,,,,,,,,
18,3026,,,4,,,,,,,,,,,,,,,,
19,2750,,,4,,,,,,,,,,,,,,,,
20,662,,,4,,,,,,,,,,,,,,,,
21,2114,,,5,,,,,,,,,,,,,,,,
22,1357,,,5,,,,,,,,,,,,,,,,
23,2480,,,5,,,,,,,,,,,,,,,,
24,1847,,,5,,,,,,,,,,,,,,,,
25,3813,,,5,,,,,,,,,,,,,,,,
26,3783,,,6,,,,,,,,,,,,,,,,
27,11775,,,6,,,,,,,,,,,,,,,,
