string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,1737,,,0,3149,,,0,628,,,0,2049,,,0,2061,,,0
1,11504,,,1,,,,,,,,,,,,,,,,
2,11505,,,1,,,,,,,,,,,,,,,,
3,11498,,,1,,,,,,,,,,,,,,,,
4,2168,,,1,,,,,,,,,,,,,,,,
5,3162,,,1,,,,,,,,,,,,,,,,
6,2350,,,2,2350,,,2,2350,,,2,11510,,,2,,,,
7,2416,,,2,,,,,,,,,,,,,,,,
8,11499,,,2,,,,,,,,,,,,,,,,
9,11502,,,2,,,,,,,,,,,,,,,,
11,3503,,,2,11513,,,2,,,,,,,,,,,,
12,3261,,,3,,,,,,,,,,,,,,,,
13,1628,,,3,,,,,,,,,,,,,,,,
14,3001,,,3,,,,,,,,,,,,,,,,
15,2806,,,3,11501,,,3,,,,,,,,,,,,
16,3606,,,3,,,,,,,,,,,,,,,,
17,11512,,,4,,,,,,,,,,,,,,,,
18,3528,,,4,,,,,,,,,,,,,,,,
20,1728,,,4,,,,,,,,,,,,,,,,
21,803,,,4,,,,,,,,,,,,,,,,
22,11759,,,4,,,,,,,,,,,,,,,,
